ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
60,387,8,54,7,1,0,84,4,4,7,3,0,56,0,0,0,62,-8,2,-8,1,100,RIS_0
84,277,16,66,48,0,0,97,60,6,6,35,2,43,-7,1,0,11,47,2,4,1,71,RIS_1
64,239,16,49,21,0,0,90,2,6,6,25,0,59,0,0,0,24,62,2,3,2,88,RIS_0
75,179,6,141,27,0,0,100,-7,7,8,40,1,41,0,1,0,13,91,2,3,1,76,RIS_1
73,200,1,97,44,0,0,95,22,6,6,22,1,68,-7,0,1,51,90,4,2,1,73,RIS_0
60,268,14,81,29,1,0,96,3,6,5,31,0,33,0,0,0,13,-8,0,3,1,54,RIS_1
67,375,10,85,25,0,0,96,-7,6,8,2,3,40,-7,0,1,51,92,2,3,0,100,RIS_0
59,290,16,107,58,1,1,96,15,6,6,16,0,45,0,0,0,56,75,7,2,1,100,RIS_0
81,260,11,34,25,0,0,91,25,6,6,15,4,35,0,0,0,58,-9,8,2,3,52,RIS_0
82,143,10,49,3,0,0,100,-7,7,8,6,0,34,0,0,4,8,-8,1,1,1,72,RIS_0
69,156,5,62,25,0,0,100,-7,7,8,49,5,16,2,3,4,2,-7,2,2,1,44,RIS_0
59,258,9,92,46,2,7,76,2,4,5,26,0,79,0,0,0,79,-8,4,3,1,77,RIS_0
73,190,8,89,34,0,0,100,67,6,7,65,4,24,-7,3,1,10,46,3,2,0,63,RIS_1
79,65,3,84,43,0,0,100,-7,7,8,19,4,35,-8,2,5,3,-7,2,2,3,66,RIS_0
61,203,16,86,42,0,4,88,37,5,5,16,1,29,0,2,0,11,-9,2,1,0,100,RIS_0
74,350,7,83,21,0,1,97,65,3,6,20,5,56,-7,1,1,0,-8,8,2,0,100,RIS_1
84,180,3,62,23,0,0,100,-7,7,8,12,1,45,2,1,1,-2,87,4,2,1,24,RIS_1
67,337,66,174,41,0,0,100,-7,7,8,24,0,40,-7,0,1,8,73,4,1,1,56,RIS_1
70,265,9,82,7,0,0,91,13,6,6,10,4,44,-7,0,0,15,-8,4,1,1,33,RIS_0
70,228,21,54,1,1,1,64,4,0,5,1,0,32,-7,0,0,32,-9,2,5,-8,100,RIS_0
82,88,3,89,23,0,0,100,-7,4,8,22,4,54,16,0,4,4,50,5,2,0,93,RIS_1
61,301,17,117,19,0,1,93,70,6,6,25,1,33,-7,4,1,51,-7,2,4,1,82,RIS_1
80,122,1,93,39,6,0,100,-7,7,5,21,1,39,-7,4,1,11,68,3,2,0,33,RIS_1
82,344,1,49,40,0,0,100,-7,7,8,28,2,27,2,1,1,12,67,5,1,0,82,RIS_1
79,364,28,50,21,0,1,92,-7,6,6,16,0,43,1,0,0,3,-8,2,5,1,77,RIS_1
59,202,3,81,6,2,1,82,2,6,6,22,2,38,-7,0,0,8,-8,2,1,2,45,RIS_0
78,326,2,85,25,0,0,95,40,6,6,60,1,93,0,0,3,85,59,5,5,3,38,RIS_0
66,220,3,102,14,1,1,93,3,4,5,17,0,10,-7,0,0,68,92,2,6,2,89,RIS_0
81,57,20,16,5,0,0,100,-7,7,8,3,0,35,3,0,0,-7,-9,-8,-8,0,18,RIS_0
80,78,9,45,26,0,0,100,-7,7,8,-2,0,26,-7,1,1,24,-9,2,-8,0,38,RIS_1
66,167,8,115,27,1,0,94,8,4,2,24,0,42,-7,0,0,62,57,1,1,0,100,RIS_0
73,258,11,117,23,0,0,97,32,6,6,55,1,21,1,2,0,24,90,4,4,2,42,RIS_0
82,243,5,42,24,0,0,90,-7,2,8,21,2,46,0,1,3,3,-8,7,2,0,79,RIS_1
82,188,0,40,22,0,0,100,-7,7,8,24,5,41,20,2,1,2,44,6,2,0,78,RIS_1
68,121,2,108,43,0,0,89,4,6,6,23,2,22,0,0,3,51,-7,2,3,1,75,RIS_0
69,188,1,29,39,1,0,79,9,5,6,46,1,29,0,0,1,21,97,1,4,2,85,RIS_0
80,267,2,66,18,0,0,93,2,4,6,24,4,35,-7,2,0,42,-9,4,1,0,76,RIS_1
90,342,6,99,27,0,0,100,-7,7,8,23,4,16,21,1,3,27,-8,0,1,4,92,RIS_1
74,82,17,44,51,0,0,100,-7,6,6,17,3,21,8,3,4,9,91,4,3,1,82,RIS_1
75,274,19,79,15,1,0,88,13,6,8,20,0,21,-7,0,0,11,-8,4,4,0,79,RIS_1
61,140,7,59,38,1,2,90,4,6,5,14,0,23,-7,0,0,6,-7,2,1,3,80,RIS_0
69,155,6,58,26,2,0,94,68,6,5,44,1,21,6,0,3,12,-7,2,2,0,87,RIS_1
90,209,5,52,24,0,0,100,-7,7,8,31,1,33,-8,1,1,29,90,4,3,0,28,RIS_1
76,59,7,12,0,1,0,100,-7,7,8,7,0,21,9,0,0,24,-9,1,5,-8,100,RIS_0
77,272,10,102,29,0,0,88,-7,6,8,21,1,48,-7,5,1,16,77,2,2,0,79,RIS_1
68,75,3,58,59,0,0,94,29,6,6,21,2,35,0,0,0,35,-8,7,2,1,80,RIS_1
70,206,3,56,28,0,0,100,72,6,8,30,4,19,2,1,3,16,41,3,2,0,76,RIS_1
91,181,7,79,30,0,0,100,-6,7,8,32,2,31,-7,1,1,53,42,2,2,0,72,RIS_1
57,348,10,81,9,0,1,93,27,4,2,9,0,33,-7,0,0,15,-8,7,1,2,100,RIS_0
65,54,4,82,14,0,0,89,3,6,8,30,5,38,2,1,4,33,40,9,4,1,75,RIS_0
64,58,11,93,24,0,0,94,43,5,8,18,3,76,2,0,0,3,-9,1,2,1,74,RIS_1
63,230,3,103,25,1,0,89,18,5,5,6,1,49,0,0,0,15,-8,1,1,3,98,RIS_0
68,285,7,48,47,0,0,100,44,6,6,27,2,52,8,0,0,6,-9,3,2,1,47,RIS_1
94,138,29,88,28,0,0,100,-7,7,8,20,4,46,-7,1,2,2,83,2,2,-8,73,RIS_1
59,69,6,53,22,0,1,94,54,6,6,16,4,52,-7,0,0,11,-8,3,5,0,89,RIS_1
65,182,9,74,22,0,2,100,1,4,7,47,1,22,0,0,0,74,-8,3,1,1,100,RIS_0
