ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
69,187,3,61,28,0,0,100,-6,7,8,45,3,34,0,1,1,34,85,6,4,1,82,RIS_0
67,160,25,111,12,0,0,92,-8,7,6,26,0,16,0,0,0,96,-8,6,1,3,100,RIS_0
70,171,17,100,15,0,0,96,10,6,6,16,0,54,0,2,2,80,80,4,2,1,75,RIS_0
82,181,6,92,27,0,0,100,-6,7,8,23,1,0,20,0,0,36,-9,6,1,2,24,RIS_1
53,83,4,34,16,1,1,69,1,4,5,16,2,41,0,2,2,69,86,5,2,2,90,RIS_0
74,158,12,69,9,0,0,100,-7,7,8,13,0,53,0,1,1,74,59,3,2,2,99,RIS_0
89,221,7,106,14,0,0,100,-7,7,8,16,1,41,0,2,2,-1,-9,1,1,0,33,RIS_1
73,159,13,90,31,0,0,93,4,6,6,29,1,56,0,3,3,58,87,4,2,1,78,RIS_0
66,45,4,51,9,1,1,88,-7,6,2,15,1,57,0,2,2,-6,81,1,2,-8,100,RIS_0
79,273,2,118,32,0,0,97,74,6,6,68,3,27,5,0,0,18,55,10,5,1,48,RIS_1
87,207,2,70,40,0,0,100,-7,7,8,38,2,49,0,0,0,3,68,3,4,0,32,RIS_1
92,134,2,68,18,0,0,100,-7,7,8,22,2,56,0,3,3,4,93,2,4,0,58,RIS_1
63,440,2,104,35,3,2,90,11,6,2,36,3,37,0,1,1,14,62,5,4,0,68,RIS_1
70,166,17,70,26,0,0,100,-7,6,8,37,1,18,0,3,3,58,69,5,2,2,86,RIS_0
67,272,3,100,72,0,0,97,59,6,6,48,3,39,0,4,8,74,82,10,5,4,85,RIS_0
73,190,12,90,24,0,0,100,-7,6,6,29,0,24,0,1,1,64,68,6,2,1,84,RIS_0
70,294,5,94,49,0,0,96,-7,7,6,67,2,12,0,0,0,48,-9,7,2,4,45,RIS_1
57,79,4,51,6,1,1,82,15,6,2,15,1,59,0,1,1,82,90,2,2,1,100,RIS_0
85,113,10,26,7,0,0,100,-7,7,8,1,0,57,0,0,0,17,-8,1,1,0,99,RIS_0
86,351,71,230,11,0,0,100,-7,7,8,9,0,4,-8,0,0,20,-8,3,1,0,33,RIS_1
73,35,0,31,21,0,0,100,-7,7,8,25,4,33,0,6,9,37,94,6,3,1,81,RIS_0
79,184,5,86,28,0,0,100,-7,7,8,20,1,33,5,0,0,24,88,6,2,1,69,RIS_1
84,368,18,115,29,1,0,96,50,6,5,35,0,12,0,0,0,11,-7,4,2,0,50,RIS_1
67,74,12,57,7,0,0,100,-7,6,6,11,0,51,0,2,2,89,86,2,2,1,100,RIS_0
66,379,19,165,32,1,0,100,-7,6,8,45,0,28,0,1,1,70,46,5,3,1,90,RIS_1
79,140,3,78,40,0,0,96,3,4,6,51,3,19,0,2,2,2,102,5,2,0,39,RIS_1
76,230,1,62,23,0,0,100,-7,7,8,22,2,19,0,0,0,43,88,6,2,4,82,RIS_0
73,85,0,64,20,0,0,100,-6,7,8,39,4,56,0,2,2,44,90,5,4,1,87,RIS_0
88,451,37,145,27,1,0,95,60,6,6,25,0,19,0,4,4,-3,-7,0,-8,0,11,RIS_1
61,92,9,74,4,7,7,91,36,6,2,12,0,61,0,4,3,92,-9,2,1,1,100,RIS_0
75,194,15,45,30,0,0,96,18,6,6,29,1,74,0,2,2,47,76,3,4,1,89,RIS_0
73,183,8,67,21,0,0,100,-7,7,8,17,1,54,0,0,0,70,72,5,3,2,75,RIS_1
86,187,4,82,27,0,0,100,-6,7,8,30,3,14,0,1,1,2,90,2,2,0,27,RIS_1
85,190,1,34,19,0,0,100,-7,6,8,18,3,47,0,2,2,3,94,1,2,0,62,RIS_1
62,103,0,35,0,1,1,90,58,6,2,1,3,54,0,1,0,10,92,1,3,0,64,RIS_0
60,170,3,79,46,2,1,88,5,4,2,41,6,42,0,2,2,28,87,5,4,1,69,RIS_0
75,437,6,96,49,1,0,94,61,6,6,49,3,33,8,0,0,12,81,9,4,1,62,RIS_1
87,394,15,142,10,0,0,100,-7,7,8,7,1,7,16,0,0,0,-9,2,1,0,51,RIS_1
77,332,26,131,21,0,0,93,45,6,6,17,0,28,0,1,1,13,-9,2,1,0,50,RIS_1
75,-1,1,23,12,0,0,100,-7,7,8,5,3,38,0,4,4,4,91,2,2,0,64,RIS_0
71,365,4,100,17,1,0,96,9,6,5,56,3,28,0,2,2,4,-8,6,2,0,37,RIS_1
59,170,15,87,19,2,2,89,31,6,2,31,0,34,0,1,1,51,81,3,4,1,100,RIS_0
59,56,2,51,9,1,1,93,54,6,6,20,1,15,0,2,2,98,-7,5,1,4,100,RIS_0
77,135,3,80,25,1,1,96,-8,6,6,26,3,41,0,5,5,17,97,2,4,0,77,RIS_0
72,194,3,68,41,0,0,97,72,6,6,63,5,14,0,1,1,15,-8,8,2,1,24,RIS_1
71,204,41,118,15,0,0,95,22,6,6,22,0,28,0,3,3,74,-8,4,1,1,78,RIS_0
70,179,3,65,21,1,1,95,53,6,6,29,3,57,0,5,5,11,91,2,2,0,81,RIS_0
65,176,1,87,28,1,1,94,25,6,6,32,3,41,0,9,9,22,90,5,3,1,78,RIS_0
74,158,12,74,28,1,1,93,12,6,5,27,1,64,7,0,0,1,80,1,4,0,69,RIS_1
65,313,25,125,17,4,1,87,32,6,2,27,0,31,0,1,1,4,-8,3,2,0,70,RIS_1
56,381,5,84,41,1,0,87,-1,4,5,58,3,28,0,1,1,58,73,9,4,3,68,RIS_0
70,136,2,81,19,1,0,85,4,4,5,35,1,27,0,3,3,9,-7,2,2,0,59,RIS_0
71,171,13,79,37,0,0,97,-7,6,6,40,1,36,0,0,0,54,41,6,3,1,72,RIS_1
80,37,5,47,20,0,0,97,-7,7,6,25,2,33,17,0,0,4,99,2,3,0,34,RIS_1
68,159,2,68,14,1,1,93,-7,6,6,23,2,68,0,1,1,79,88,5,5,1,86,RIS_0
59,170,7,85,11,1,0,77,1,4,5,14,1,55,0,0,0,4,92,0,3,0,47,RIS_0
68,76,5,28,3,0,0,100,-7,7,8,0,1,9,0,1,1,49,-8,1,1,0,98,RIS_0
63,333,15,110,35,4,4,85,4,4,2,34,0,31,0,2,2,15,14,6,2,0,68,RIS_0
88,195,0,80,13,0,0,100,-6,7,8,15,2,36,0,1,1,5,83,1,2,0,53,RIS_1
86,228,1,71,28,0,0,100,-8,7,8,17,3,5,0,1,1,12,-8,4,1,0,41,RIS_1
73,28,5,48,20,0,0,96,17,6,6,28,3,18,0,0,0,52,-9,5,1,1,36,RIS_0
70,227,4,54,13,4,2,70,4,0,2,23,3,35,0,6,3,8,101,1,4,0,73,RIS_0
83,121,2,76,18,0,0,100,-7,7,8,17,2,30,0,3,3,10,92,2,2,0,58,RIS_1
67,147,2,87,21,1,0,86,4,4,5,27,1,55,0,2,2,-3,81,2,4,0,48,RIS_0
61,167,20,99,20,4,1,60,11,0,2,16,0,31,0,1,1,66,-7,3,1,1,70,RIS_0
69,44,5,47,6,0,0,100,-6,6,8,0,1,65,0,3,3,12,-8,1,1,-8,100,RIS_0
65,185,3,64,27,0,0,94,2,4,6,42,3,40,0,3,3,59,55,8,4,3,89,RIS_0
71,153,2,55,34,0,0,100,-7,7,8,30,4,37,0,1,1,48,85,5,4,2,87,RIS_0
73,443,20,114,58,1,0,96,1,4,6,48,0,10,0,5,6,1,-8,7,1,1,53,RIS_0
66,126,11,84,35,0,0,97,7,4,6,29,1,45,0,9,9,64,78,5,3,1,88,RIS_0
77,412,4,102,25,0,0,100,-6,6,8,26,1,21,-9,0,0,45,-9,4,1,1,47,RIS_1
70,113,4,48,14,0,0,89,8,6,6,8,2,56,0,0,0,38,89,2,2,1,68,RIS_0
62,100,15,81,3,4,1,51,18,6,2,12,0,56,0,1,1,92,-7,1,1,1,100,RIS_0
74,400,33,202,11,0,0,94,33,6,6,18,0,24,0,1,0,91,-8,4,1,3,99,RIS_0
86,135,25,97,19,0,0,100,-7,7,6,15,0,51,0,0,0,28,-9,2,2,0,24,RIS_1
53,100,5,42,31,2,0,89,2,4,5,26,4,50,0,2,2,79,81,5,4,3,93,RIS_0
73,72,5,58,12,0,0,100,-7,7,8,9,1,63,0,0,0,21,88,2,2,0,70,RIS_0
71,515,15,143,27,1,1,88,34,6,5,21,0,4,14,0,0,36,-6,9,-8,1,49,RIS_1
73,223,7,89,27,1,0,100,-7,6,8,15,3,5,15,0,0,41,-8,4,1,1,66,RIS_1
