index,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
0.0,89,348,11,103,11,0,0,100,-7,7,8,11,1,27,10,0,0,10,83,3,1,0,57,RIS_1
1.0,83,97,2,40,10,0,0,100,-7,7,8,11,3,36,-7,1,0,5,95,3,2,0,63,RIS_0
2.0,72,298,1,84,22,0,0,96,34,6,6,25,2,20,1,1,1,33,-8,4,-8,2,57,RIS_1
3.0,65,102,69,86,6,3,3,33,3,0,2,9,0,0,13,0,0,8,-8,1,-8,0,33,RIS_1
4.0,82,192,5,91,47,1,1,92,36,6,3,6,2,39,4,1,1,6,82,4,2,0,33,RIS_1
5.0,66,122,0,51,31,0,0,100,-7,7,8,37,6,62,0,17,14,40,68,5,4,2,82,RIS_0
6.0,88,206,2,79,25,0,0,100,-7,7,8,27,3,56,0,3,3,0,74,0,3,-8,43,RIS_1
7.0,75,138,5,68,28,0,0,100,-7,7,8,29,2,54,2,1,1,0,82,1,14,0,79,RIS_1
8.0,75,198,4,114,26,2,0,93,42,6,5,28,5,46,0,1,1,18,15,7,3,0,77,RIS_0
9.0,79,171,7,79,40,0,0,100,-7,7,8,41,3,17,3,1,1,16,79,4,2,0,46,RIS_1
10.0,54,375,3,99,44,0,0,84,1,4,6,44,4,45,0,2,2,72,70,10,4,4,64,RIS_0
11.0,88,530,5,182,17,0,0,100,-7,7,8,17,2,24,0,0,0,3,81,5,2,0,64,RIS_1
12.0,61,170,3,78,18,3,0,71,36,5,2,21,3,57,0,0,0,111,90,4,3,3,100,RIS_0
13.0,68,373,12,88,21,0,0,90,-8,5,6,21,0,19,0,4,4,50,-8,6,1,4,58,RIS_0
14.0,89,122,5,60,44,0,0,100,-7,6,7,56,3,79,-7,3,3,2,97,1,4,0,63,RIS_1
15.0,86,403,3,131,18,0,0,100,-7,7,8,21,2,24,0,4,4,2,-8,4,-8,0,40,RIS_1
16.0,59,81,6,41,27,5,5,100,-7,0,8,27,2,44,1,4,4,49,73,6,4,2,71,RIS_0
17.0,74,183,1,48,11,0,0,100,-7,7,8,12,2,25,-7,2,1,58,31,3,2,1,83,RIS_0
18.0,75,230,2,95,19,0,0,100,-7,7,8,21,3,33,0,2,2,47,-8,6,1,1,70,RIS_1
19.0,69,244,3,73,25,1,0,74,25,6,5,27,1,37,0,2,2,48,40,2,1,1,27,RIS_0
20.0,75,-8,3,60,29,1,1,97,29,6,2,0,2,3,3,1,1,1,-8,4,1,0,28,RIS_1
21.0,72,79,4,43,13,0,0,100,-7,7,8,13,2,54,-7,3,3,84,-8,3,1,1,80,RIS_0
22.0,78,272,4,90,14,0,0,100,-7,7,8,25,2,29,-7,0,0,32,-8,6,1,2,78,RIS_0
23.0,87,247,21,97,19,0,0,100,-7,7,8,20,0,45,0,0,0,3,39,1,1,0,33,RIS_1
24.0,69,312,15,94,27,1,0,82,11,4,5,30,0,18,15,0,0,54,62,2,2,1,56,RIS_1
25.0,79,444,1,126,19,1,1,95,44,6,2,22,2,45,2,1,1,4,75,3,2,0,63,RIS_1
26.0,90,175,38,132,11,0,0,100,-7,7,8,11,0,45,-8,0,0,0,-8,0,-8,0,0,RIS_1
27.0,64,178,3,65,31,0,0,100,-7,7,8,31,1,10,14,0,0,80,-8,15,1,11,84,RIS_1
28.0,65,77,13,52,11,3,3,83,44,6,4,14,0,58,0,0,0,71,-8,2,1,2,60,RIS_0
29.0,78,208,13,112,16,0,0,94,3,4,6,17,0,76,-7,0,0,0,-8,0,1,0,50,RIS_1
30.0,67,164,1,56,39,0,0,98,72,6,6,40,4,50,0,3,3,61,18,3,3,2,78,RIS_0
31.0,81,188,3,75,47,0,0,100,-7,7,8,48,2,17,1,1,1,2,-8,4,1,0,36,RIS_1
32.0,65,328,2,103,13,1,1,82,16,5,2,36,1,41,4,1,1,77,-8,3,2,1,86,RIS_0
33.0,72,191,29,89,29,0,0,100,-7,7,8,29,0,24,7,0,0,56,-8,9,1,6,83,RIS_1
34.0,71,174,5,42,25,0,0,96,12,6,6,25,8,20,4,2,2,12,68,3,2,0,29,RIS_0
35.0,91,425,61,127,14,0,0,100,-7,7,8,15,0,14,-8,0,0,3,-8,4,1,0,71,RIS_1
36.0,77,52,27,37,4,0,0,75,28,6,6,4,0,50,-8,0,0,0,-8,0,1,0,33,RIS_1
37.0,75,222,2,124,23,2,2,92,62,6,2,25,2,24,0,0,0,30,57,4,2,1,40,RIS_1
38.0,74,195,2,97,15,1,1,82,28,6,2,14,2,24,-7,0,0,18,7,5,2,0,70,RIS_0
39.0,63,274,2,94,49,0,0,94,21,6,6,52,2,10,0,1,1,43,77,19,3,5,64,RIS_0
40.0,79,111,2,67,40,0,0,100,-7,7,8,5,1,12,-7,1,1,1,85,9,2,0,44,RIS_1
41.0,76,42,18,27,7,0,0,100,-7,7,8,7,0,71,0,1,1,30,-8,1,3,0,80,RIS_0
42.0,69,410,1,124,49,0,0,100,-7,7,8,52,10,23,1,1,1,41,15,11,2,1,58,RIS_0
43.0,75,174,9,78,17,1,1,100,-7,6,8,17,1,53,8,0,0,15,64,2,2,0,44,RIS_1
44.0,86,212,7,90,26,0,0,100,-7,7,8,29,1,21,-8,0,0,10,-8,1,2,0,57,RIS_1
45.0,66,128,2,45,7,3,2,89,55,0,3,9,1,33,0,4,4,13,88,4,2,0,100,RIS_0
46.0,89,460,4,119,11,0,0,100,-7,7,8,11,3,36,0,2,2,5,-8,1,1,-8,67,RIS_1
47.0,90,414,8,102,22,0,0,100,-7,7,8,22,1,36,8,0,0,0,93,1,2,0,33,RIS_1
48.0,58,353,10,151,42,1,1,95,1,2,4,44,1,30,0,1,1,19,56,9,4,1,56,RIS_0
49.0,55,25,5,14,9,0,0,100,-7,7,8,9,5,56,0,1,1,97,93,3,2,2,100,RIS_0
50.0,59,147,1,52,5,1,1,86,2,0,2,7,1,71,12,0,0,78,100,2,2,1,100,RIS_0
51.0,81,154,21,73,13,0,0,100,-7,7,8,13,0,23,0,0,0,46,-8,4,-8,0,67,RIS_0
52.0,72,74,8,39,14,0,0,86,18,6,6,14,1,64,-7,2,1,7,92,2,1,-8,75,RIS_0
53.0,68,377,9,96,35,0,0,97,-8,6,6,37,2,22,0,0,0,53,97,16,2,5,79,RIS_1
54.0,72,546,5,98,25,0,0,85,4,4,6,31,3,19,6,0,0,6,-8,4,1,0,43,RIS_0
55.0,72,419,1,22,6,0,0,100,-7,7,8,12,3,29,9,1,0,37,58,3,2,0,71,RIS_0
56.0,66,-8,3,45,21,3,1,88,41,6,5,25,4,40,-7,1,1,8,54,1,4,0,50,RIS_0
57.0,70,252,3,73,20,4,2,88,31,6,3,24,4,67,2,1,1,16,93,3,2,0,63,RIS_0
58.0,84,213,7,62,19,0,0,100,-7,7,8,21,1,32,-7,2,2,13,79,4,2,0,50,RIS_1
59.0,54,253,6,94,59,2,0,71,3,3,2,66,5,76,0,0,0,45,55,3,2,2,71,RIS_0
60.0,82,176,6,71,31,0,0,100,-7,7,8,31,2,23,0,0,0,4,-8,5,1,0,44,RIS_1
61.0,70,145,145,145,2,0,0,50,60,6,6,2,0,100,0,1,1,-8,-8,-8,1,-8,100,RIS_0
62.0,74,277,30,123,24,0,0,88,12,6,6,24,0,25,0,0,0,45,-8,12,1,2,93,RIS_0
63.0,87,384,1,82,17,0,0,100,-7,7,8,20,2,17,11,0,0,1,53,2,1,0,38,RIS_1
64.0,67,162,34,95,16,0,0,94,3,4,6,17,0,19,15,0,0,67,-8,2,1,1,60,RIS_0
65.0,85,151,3,56,20,0,0,100,-7,7,8,21,1,25,17,0,0,7,-8,1,1,0,60,RIS_1
66.0,66,77,5,25,8,0,0,100,-7,7,8,8,5,13,0,1,1,93,72,5,1,1,100,RIS_0
67.0,63,71,12,41,18,0,0,100,-7,7,8,18,0,22,0,1,1,92,25,11,2,6,100,RIS_0
68.0,75,176,3,69,18,0,0,100,-7,6,8,19,1,42,0,0,0,48,51,6,3,1,82,RIS_1
69.0,56,412,4,97,29,3,2,78,2,0,2,30,2,59,-7,2,2,6,75,1,5,-8,60,RIS_0
70.0,72,248,23,115,19,2,1,88,21,6,2,24,0,29,-7,0,0,25,-8,3,2,0,56,RIS_0
71.0,70,84,8,40,15,1,0,88,60,6,5,16,1,25,-7,0,0,7,69,2,3,0,56,RIS_0
72.0,65,140,14,23,5,0,0,100,-7,7,8,7,0,40,-7,1,1,95,-8,2,1,-8,75,RIS_0
73.0,74,390,0,81,24,1,1,93,7,0,2,27,3,44,0,1,1,26,87,2,2,0,40,RIS_0
74.0,71,43,8,84,14,2,2,93,32,6,2,4,1,38,0,1,1,46,94,2,2,0,57,RIS_1
75.0,79,190,3,53,27,0,0,100,-7,7,8,28,2,4,-7,0,0,55,-8,2,-8,1,50,RIS_0
76.0,74,215,6,85,29,0,0,100,-7,7,8,30,2,30,0,0,0,37,-8,6,2,1,89,RIS_1
77.0,56,53,18,114,3,1,1,75,0,0,2,4,0,0,-7,0,0,101,-8,4,-8,2,100,RIS_0
78.0,65,-8,6,48,14,2,0,76,12,6,5,0,3,59,-7,5,3,16,67,2,6,0,90,RIS_0
79.0,89,181,33,75,8,0,0,100,-7,7,8,8,0,25,0,0,0,0,-8,1,1,0,40,RIS_1
80.0,85,181,6,169,24,0,0,100,-7,7,8,25,2,4,-7,1,0,7,-8,3,-8,0,36,RIS_0
81.0,69,10,9,77,12,2,1,71,17,6,4,2,2,86,-8,0,0,-8,88,-8,2,-8,100,RIS_1
82.0,78,220,9,86,41,0,0,100,-7,7,8,41,1,20,1,2,2,5,-8,4,2,1,50,RIS_1
83.0,69,105,3,40,11,0,0,100,-7,7,8,11,3,55,0,0,0,66,74,3,4,1,100,RIS_0
84.0,67,-8,3,51,7,2,2,75,16,6,2,0,1,13,2,1,1,16,-8,3,-8,0,75,RIS_0
85.0,59,172,5,54,16,0,0,82,0,4,6,17,3,47,0,0,0,64,13,3,3,2,55,RIS_0
86.0,84,166,20,65,24,0,0,100,-7,7,8,24,0,42,19,0,0,2,52,2,6,0,62,RIS_1
87.0,81,6,1,86,32,0,0,100,-7,7,8,3,3,33,5,1,1,18,92,5,2,1,47,RIS_1
88.0,63,363,3,24,17,0,0,94,33,6,6,39,7,29,-7,1,1,68,99,8,3,1,92,RIS_0
89.0,62,254,20,69,11,5,4,69,24,6,2,21,0,44,-8,0,0,40,44,5,2,2,100,RIS_0
90.0,79,128,4,49,52,0,0,100,-7,6,7,54,5,72,2,5,5,9,74,2,12,0,74,RIS_1
91.0,55,147,1,83,12,2,2,86,32,6,2,15,1,29,0,2,2,66,-8,6,1,2,89,RIS_0
92.0,75,112,3,59,23,0,0,96,14,6,6,35,3,9,1,2,2,13,-8,4,1,0,50,RIS_0
93.0,73,131,5,57,21,0,0,95,80,6,6,21,5,19,7,0,0,26,-8,5,2,0,100,RIS_1
94.0,66,46,6,26,10,0,0,100,-7,7,8,10,1,70,0,3,3,94,59,2,3,1,83,RIS_0
95.0,75,176,5,69,44,0,0,100,-7,7,8,44,3,18,5,0,0,34,91,2,3,0,56,RIS_1
96.0,63,81,2,35,34,0,0,97,-8,6,6,36,6,25,0,6,6,35,74,11,6,2,71,RIS_0
97.0,76,163,7,84,20,0,0,100,-7,7,8,24,1,50,-7,2,2,52,28,4,4,0,89,RIS_0
98.0,82,228,17,92,24,0,0,100,-7,7,8,29,0,34,1,2,2,2,42,9,4,0,68,RIS_1
99.0,78,103,8,49,17,0,0,100,-7,7,8,13,1,76,9,0,0,19,86,1,7,0,80,RIS_1
100.0,78,298,2,127,27,0,0,97,77,6,6,29,1,45,-8,0,0,62,79,5,4,0,90,RIS_1
101.0,64,49,4,24,11,0,0,100,-7,7,8,11,2,27,0,0,0,79,-8,6,1,6,88,RIS_0
102.0,69,77,3,44,18,3,1,85,25,6,5,21,3,10,-7,1,1,1,97,3,1,0,33,RIS_1
103.0,77,373,7,91,32,0,0,97,56,6,6,32,1,22,-8,0,0,26,-8,8,1,1,56,RIS_1
104.0,61,95,2,49,21,0,0,95,0,4,6,22,4,27,1,4,4,36,85,5,3,1,57,RIS_0
105.0,65,175,1,51,53,0,0,100,-7,7,8,65,7,48,-7,6,6,36,88,9,9,3,63,RIS_1
106.0,76,197,2,71,24,0,0,100,-7,7,8,25,2,24,-7,2,2,33,99,3,2,1,38,RIS_1
107.0,73,300,32,143,12,0,0,77,0,4,6,13,0,23,0,2,2,7,66,3,1,0,67,RIS_0
108.0,77,138,2,62,27,0,0,100,-7,7,8,38,4,71,0,3,3,40,79,2,4,1,100,RIS_1
109.0,66,272,2,95,44,0,0,100,-7,7,8,49,3,29,0,4,4,63,64,16,4,6,80,RIS_1
110.0,86,229,4,94,25,0,0,100,-7,7,8,25,2,20,2,1,1,3,-8,2,-8,0,40,RIS_1
111.0,79,282,5,78,45,0,0,100,-7,7,8,47,3,23,0,0,0,9,57,1,5,1,46,RIS_1
112.0,66,107,7,49,10,0,0,90,50,6,6,10,2,50,0,0,0,97,44,3,3,3,100,RIS_0
113.0,34,157,31,91,1,8,7,33,1,0,2,11,0,67,0,4,4,100,-8,1,-8,1,100,RIS_1
114.0,82,-8,4,79,7,1,0,75,41,6,5,8,2,38,-7,0,0,5,19,1,2,-8,75,RIS_0
115.0,81,178,2,52,13,0,0,100,-7,7,8,15,1,33,0,3,3,7,75,3,1,0,57,RIS_0
116.0,63,125,2,57,39,0,0,100,-7,7,8,59,2,29,0,7,6,69,85,10,4,7,71,RIS_0
117.0,61,288,4,100,36,0,0,97,11,4,6,37,5,51,0,3,3,65,76,6,11,2,95,RIS_0
118.0,86,294,9,118,16,0,0,100,-7,7,8,16,1,19,0,0,0,18,-8,2,2,0,44,RIS_0
119.0,67,152,3,37,23,1,1,96,64,6,2,24,3,25,-7,1,1,40,49,11,3,1,78,RIS_1
120.0,75,194,18,89,12,0,0,100,-7,7,8,12,0,17,3,2,2,87,61,1,2,1,100,RIS_1
121.0,87,57,18,215,12,0,0,100,-7,7,8,2,0,25,-8,0,0,0,73,1,1,0,29,RIS_1
122.0,73,170,8,61,27,2,1,90,17,6,3,29,1,17,0,0,0,21,-8,4,1,0,33,RIS_1
123.0,76,104,4,39,22,0,0,100,-7,7,8,23,4,23,4,2,2,8,-8,5,2,0,50,RIS_1
124.0,75,253,12,40,22,0,0,100,-7,7,8,50,0,32,-7,5,5,8,47,3,2,0,46,RIS_0
125.0,78,126,7,58,41,0,0,100,-7,7,8,45,2,51,0,2,2,14,75,3,5,0,50,RIS_1
126.0,84,325,1,89,22,0,0,100,-7,7,8,17,4,33,-7,3,3,6,-8,2,1,0,33,RIS_1
127.0,70,217,0,80,29,1,1,97,40,0,2,33,2,29,1,1,1,55,10,9,3,1,86,RIS_0
128.0,66,203,32,109,8,0,0,60,1,4,6,10,0,10,-8,0,0,34,-8,3,1,1,100,RIS_1
129.0,73,44,7,32,10,0,0,100,-7,7,8,10,1,30,8,0,0,55,-8,3,1,0,67,RIS_1
