Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,Target
28,EMP_0,GRA_0,607599,5,0,FRE_1,EVE_0,0
28,EMP_1,GRA_1,736261,5,0,FRE_0,EVE_0,1
28,EMP_1,GRA_0,1361451,5,1,FRE_0,EVE_0,0
30,EMP_1,GRA_1,1421731,3,0,FRE_0,EVE_0,1
28,EMP_1,GRA_1,300000,2,0,FRE_0,EVE_0,0
35,EMP_1,GRA_0,1681053,9,0,FRE_0,EVE_0,0
32,EMP_0,GRA_0,448801,4,0,FRE_0,EVE_0,0
28,EMP_0,GRA_0,564253,9,0,FRE_1,EVE_1,0
34,EMP_0,GRA_0,922340,3,0,FRE_1,EVE_0,1
28,EMP_1,GRA_0,1688905,3,0,FRE_0,EVE_0,0
28,EMP_0,GRA_0,533191,6,0,FRE_0,EVE_1,0
32,EMP_0,GRA_0,300000,5,0,FRE_0,EVE_0,0
30,EMP_0,GRA_0,1502145,4,0,FRE_0,EVE_0,0
28,EMP_1,GRA_0,701917,7,0,FRE_0,EVE_0,1
27,EMP_1,GRA_0,1184680,2,1,FRE_0,EVE_0,0
28,EMP_1,GRA_0,858732,6,0,FRE_0,EVE_0,0
35,EMP_1,GRA_0,991118,3,1,FRE_0,EVE_0,0
29,EMP_1,GRA_0,1632423,6,0,FRE_0,EVE_0,0
25,EMP_1,GRA_0,320920,3,0,FRE_0,EVE_0,0
27,EMP_1,GRA_0,1265235,3,0,FRE_0,EVE_0,0
28,EMP_1,GRA_1,769119,3,0,FRE_0,EVE_0,1
32,EMP_0,GRA_0,1118783,3,0,FRE_0,EVE_0,0
28,EMP_1,GRA_0,1041272,5,1,FRE_0,EVE_0,0
28,EMP_1,GRA_0,1595302,7,1,FRE_1,EVE_0,1
29,EMP_1,GRA_0,884343,5,0,FRE_0,EVE_0,0
28,EMP_1,GRA_0,1636061,5,1,FRE_1,EVE_1,0
32,EMP_0,GRA_0,392630,3,1,FRE_0,EVE_0,1
28,EMP_1,GRA_0,924960,2,0,FRE_1,EVE_1,0
33,EMP_1,GRA_0,1710135,9,0,FRE_0,EVE_1,0
28,EMP_0,GRA_0,464853,5,0,FRE_0,EVE_0,0
33,EMP_1,GRA_0,461629,3,1,FRE_0,EVE_0,1
28,EMP_1,GRA_0,1800000,7,0,FRE_0,EVE_0,0
35,EMP_1,GRA_0,800134,7,0,FRE_1,EVE_0,0
35,EMP_0,GRA_0,992858,3,0,FRE_0,EVE_0,1
28,EMP_1,GRA_0,1800000,5,1,FRE_1,EVE_0,1
28,EMP_0,GRA_0,644195,5,0,FRE_0,EVE_0,1
26,EMP_1,GRA_1,1433126,6,0,FRE_0,EVE_1,0
29,EMP_1,GRA_1,1565697,5,0,FRE_0,EVE_0,0
29,EMP_1,GRA_0,1117398,9,1,FRE_0,EVE_0,1
28,EMP_1,GRA_0,912791,6,1,FRE_0,EVE_0,0
