Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,Target
25,EMP_1,GRA_0,635488,4,0,FRE_0,EVE_0,0
27,EMP_1,GRA_0,558137,4,0,FRE_0,EVE_0,0
33,EMP_1,GRA_0,493187,4,0,FRE_0,EVE_0,0
26,EMP_1,GRA_0,619730,4,0,FRE_0,EVE_0,0
33,EMP_1,GRA_0,1189750,4,0,FRE_0,EVE_0,0
34,EMP_1,GRA_0,419762,4,0,FRE_0,EVE_0,0
34,EMP_1,GRA_0,1452536,4,0,FRE_0,EVE_0,0
26,EMP_1,GRA_0,1373328,4,0,FRE_0,EVE_1,1
34,EMP_1,GRA_0,436588,4,0,FRE_0,EVE_0,0
27,EMP_1,GRA_0,447739,4,0,FRE_0,EVE_0,0
34,EMP_1,GRA_0,304504,4,0,FRE_0,EVE_0,0
35,EMP_1,GRA_0,1055631,4,0,FRE_0,EVE_0,0
33,EMP_1,GRA_0,495816,4,0,FRE_0,EVE_0,0
33,EMP_1,GRA_0,1235081,4,0,FRE_0,EVE_0,0
28,EMP_1,GRA_0,451102,4,0,FRE_0,EVE_0,0
28,EMP_1,GRA_0,428466,4,0,FRE_0,EVE_0,0
33,EMP_1,GRA_0,1036406,4,0,FRE_0,EVE_0,0
33,EMP_1,GRA_0,1082870,4,0,FRE_0,EVE_0,0
28,EMP_0,GRA_0,566576,4,0,FRE_0,EVE_0,0
26,EMP_1,GRA_0,470369,4,0,FRE_0,EVE_0,0
34,EMP_1,GRA_0,300000,4,0,FRE_0,EVE_0,0
28,EMP_1,GRA_0,422025,4,0,FRE_0,EVE_0,0
27,EMP_1,GRA_0,1306206,5,0,FRE_1,EVE_1,1
34,EMP_1,GRA_0,1262828,4,0,FRE_0,EVE_0,1
28,EMP_1,GRA_0,385339,4,0,FRE_0,EVE_0,0
28,EMP_1,GRA_0,410394,4,0,FRE_0,EVE_0,0
28,EMP_1,GRA_0,584549,4,0,FRE_0,EVE_0,0
34,EMP_1,GRA_0,1333898,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1310309,4,0,FRE_0,EVE_0,0
25,EMP_1,GRA_0,1517440,4,0,FRE_1,EVE_1,1
34,EMP_1,GRA_0,1344938,4,0,FRE_0,EVE_0,1
28,EMP_0,GRA_0,444252,4,0,FRE_0,EVE_0,0
28,EMP_1,GRA_0,530868,4,0,FRE_0,EVE_0,0
26,EMP_1,GRA_0,1514742,5,0,FRE_1,EVE_1,1
28,EMP_1,GRA_0,530966,4,0,FRE_0,EVE_0,0
27,EMP_1,GRA_0,550770,4,0,FRE_0,EVE_0,0
26,EMP_1,GRA_0,617797,4,0,FRE_0,EVE_0,0
34,EMP_1,GRA_0,1209665,4,0,FRE_0,EVE_0,0
