index,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,Target
0.0,32,EMP_0,GRA_0,800000,7,0,FRE_0,EVE_0,0
1.0,34,EMP_1,GRA_0,1000000,5,0,FRE_0,EVE_0,0
2.0,28,EMP_1,GRA_0,750000,3,0,FRE_0,EVE_0,0
3.0,25,EMP_1,GRA_0,1700000,3,0,FRE_1,EVE_0,1
4.0,30,EMP_1,GRA_1,500000,7,1,FRE_0,EVE_0,0
5.0,34,EMP_1,GRA_0,700000,2,1,FRE_1,EVE_0,0
6.0,31,EMP_0,GRA_0,1500000,3,0,FRE_1,EVE_1,1
7.0,29,EMP_1,GRA_0,900000,4,0,FRE_0,EVE_0,0
8.0,25,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1,1
9.0,30,EMP_1,GRA_1,500000,8,0,FRE_0,EVE_0,0
10.0,27,EMP_0,GRA_0,900000,7,1,FRE_0,EVE_0,0
11.0,28,EMP_1,GRA_0,1250000,4,1,FRE_0,EVE_0,0
12.0,35,EMP_1,GRA_1,800000,5,0,FRE_0,EVE_0,0
13.0,28,EMP_1,GRA_0,600000,5,0,FRE_1,EVE_0,0
14.0,31,EMP_1,GRA_0,1400000,5,0,FRE_1,EVE_1,1
15.0,28,EMP_0,GRA_0,300000,3,1,FRE_0,EVE_0,1
16.0,31,EMP_0,GRA_0,1200000,3,0,FRE_0,EVE_0,0
17.0,28,EMP_1,GRA_0,1200000,6,1,FRE_0,EVE_0,0
18.0,28,EMP_1,GRA_0,750000,4,0,FRE_0,EVE_0,0
19.0,33,EMP_0,GRA_0,700000,3,0,FRE_0,EVE_0,0
20.0,33,EMP_0,GRA_0,700000,4,0,FRE_0,EVE_0,0
21.0,31,EMP_0,GRA_0,400000,6,1,FRE_0,EVE_0,0
22.0,28,EMP_1,GRA_0,900000,3,0,FRE_0,EVE_0,0
23.0,31,EMP_0,GRA_1,300000,3,0,FRE_0,EVE_0,0
24.0,28,EMP_0,GRA_0,300000,6,0,FRE_0,EVE_0,0
25.0,32,EMP_0,GRA_0,900000,6,1,FRE_0,EVE_0,0
26.0,25,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1,1
27.0,29,EMP_1,GRA_0,1050000,5,0,FRE_0,EVE_0,0
28.0,27,EMP_0,GRA_0,850000,7,1,FRE_0,EVE_0,0
29.0,25,EMP_1,GRA_0,1400000,5,1,FRE_0,EVE_1,1
30.0,25,EMP_1,GRA_1,1150000,5,0,FRE_0,EVE_0,0
31.0,25,EMP_1,GRA_0,1400000,3,1,FRE_0,EVE_1,1
32.0,25,EMP_1,GRA_1,600000,5,0,FRE_1,EVE_0,0
33.0,28,EMP_1,GRA_0,1200000,6,1,FRE_0,EVE_0,0
34.0,28,EMP_0,GRA_0,600000,4,0,FRE_0,EVE_0,0
35.0,34,EMP_1,GRA_0,1050000,7,0,FRE_1,EVE_0,1
36.0,28,EMP_0,GRA_0,300000,4,0,FRE_0,EVE_0,0
37.0,31,EMP_1,GRA_0,1350000,4,0,FRE_0,EVE_1,1
38.0,28,EMP_0,GRA_0,600000,4,0,FRE_0,EVE_0,0
39.0,31,EMP_1,GRA_0,900000,6,0,FRE_0,EVE_0,0
40.0,35,EMP_1,GRA_1,800000,6,1,FRE_0,EVE_1,1
41.0,34,EMP_1,GRA_0,1000000,2,0,FRE_0,EVE_0,0
42.0,34,EMP_0,GRA_0,1300000,4,1,FRE_0,EVE_0,0
43.0,32,EMP_0,GRA_0,800000,6,0,FRE_0,EVE_0,0
44.0,29,EMP_1,GRA_0,1750000,6,0,FRE_0,EVE_0,0
45.0,25,EMP_0,GRA_0,750000,3,0,FRE_0,EVE_1,1
46.0,33,EMP_0,GRA_0,1100000,3,0,FRE_0,EVE_0,1
47.0,33,EMP_1,GRA_0,1400000,4,1,FRE_0,EVE_1,1
48.0,28,EMP_1,GRA_0,800000,5,0,FRE_0,EVE_0,0
49.0,26,EMP_1,GRA_0,1250000,4,0,FRE_0,EVE_0,1
50.0,28,EMP_1,GRA_0,1150000,4,1,FRE_0,EVE_0,0
51.0,34,EMP_1,GRA_0,1000000,5,1,FRE_0,EVE_0,0
52.0,29,EMP_1,GRA_0,1350000,3,1,FRE_1,EVE_1,0
53.0,34,EMP_1,GRA_0,500000,4,1,FRE_0,EVE_0,1
54.0,30,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0,1
55.0,34,EMP_1,GRA_0,850000,5,1,FRE_1,EVE_0,0
56.0,29,EMP_1,GRA_0,1050000,4,0,FRE_0,EVE_0,0
57.0,28,EMP_1,GRA_1,550000,6,0,FRE_0,EVE_0,1
58.0,27,EMP_0,GRA_0,500000,6,0,FRE_0,EVE_0,0
59.0,33,EMP_0,GRA_1,400000,4,0,FRE_0,EVE_0,0
60.0,28,EMP_1,GRA_0,700000,5,0,FRE_0,EVE_0,0
61.0,27,EMP_0,GRA_0,500000,5,0,FRE_0,EVE_0,1
62.0,28,EMP_0,GRA_0,1100000,4,0,FRE_0,EVE_0,0
63.0,25,EMP_0,GRA_0,750000,6,0,FRE_0,EVE_0,1
64.0,34,EMP_1,GRA_0,700000,3,0,FRE_0,EVE_0,1
65.0,29,EMP_1,GRA_0,1100000,5,1,FRE_0,EVE_0,0
66.0,26,EMP_1,GRA_0,1400000,5,0,FRE_0,EVE_1,1
67.0,31,EMP_1,GRA_0,1250000,5,0,FRE_0,EVE_0,1
68.0,30,EMP_1,GRA_1,650000,3,0,FRE_0,EVE_1,0
69.0,28,EMP_1,GRA_1,550000,3,0,FRE_0,EVE_0,1
70.0,28,EMP_0,GRA_0,600000,9,0,FRE_1,EVE_0,1
71.0,29,EMP_1,GRA_0,1200000,5,1,FRE_0,EVE_0,0
72.0,34,EMP_0,GRA_0,1100000,9,0,FRE_0,EVE_0,1
73.0,26,EMP_1,GRA_0,1400000,4,1,FRE_0,EVE_1,1
74.0,28,EMP_1,GRA_0,800000,4,0,FRE_0,EVE_0,0
75.0,28,EMP_1,GRA_0,1200000,3,1,FRE_1,EVE_0,0
76.0,31,EMP_1,GRA_0,1400000,7,0,FRE_0,EVE_1,1
77.0,27,EMP_0,GRA_0,1050000,2,0,FRE_0,EVE_0,1
78.0,34,EMP_1,GRA_0,500000,6,0,FRE_0,EVE_0,1
79.0,32,EMP_0,GRA_0,850000,7,0,FRE_0,EVE_1,1
80.0,32,EMP_0,GRA_0,850000,7,0,FRE_0,EVE_0,0
81.0,27,EMP_0,GRA_0,500000,4,0,FRE_0,EVE_0,1
82.0,28,EMP_0,GRA_0,300000,6,1,FRE_0,EVE_0,0
83.0,28,EMP_0,GRA_0,300000,2,0,FRE_0,EVE_0,0
84.0,29,EMP_1,GRA_0,500000,4,0,FRE_0,EVE_0,0
85.0,34,EMP_0,GRA_0,1100000,6,1,FRE_0,EVE_0,1
86.0,31,EMP_1,GRA_0,1400000,4,0,FRE_0,EVE_1,1
87.0,31,EMP_1,GRA_0,1250000,7,0,FRE_0,EVE_0,1
88.0,27,EMP_0,GRA_0,750000,8,0,FRE_0,EVE_0,0
89.0,28,EMP_1,GRA_0,700000,3,1,FRE_0,EVE_0,0
