index,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,89,348,11,103,11,0,0,100,-7,7,8,11,1,27,10,0,0,10,83,3,1,0,57
1,83,97,2,40,10,0,0,100,-7,7,8,11,3,36,-7,1,0,5,95,3,2,0,63
2,72,298,1,84,22,0,0,96,34,6,6,25,2,20,1,1,1,33,-8,4,-8,2,57
3,65,102,69,86,6,3,3,33,3,0,2,9,0,0,13,0,0,8,-8,1,-8,0,33
4,82,192,5,91,47,1,1,92,36,6,3,6,2,39,4,1,1,6,82,4,2,0,33
5,66,122,0,51,31,0,0,100,-7,7,8,37,6,62,0,17,14,40,68,5,4,2,82
6,88,206,2,79,25,0,0,100,-7,7,8,27,3,56,0,3,3,0,74,0,3,-8,43
7,75,138,5,68,28,0,0,100,-7,7,8,29,2,54,2,1,1,0,82,1,14,0,79
8,75,198,4,114,26,2,0,93,42,6,5,28,5,46,0,1,1,18,15,7,3,0,77
9,79,171,7,79,40,0,0,100,-7,7,8,41,3,17,3,1,1,16,79,4,2,0,46
10,54,375,3,99,44,0,0,84,1,4,6,44,4,45,0,2,2,72,70,10,4,4,64
11,88,530,5,182,17,0,0,100,-7,7,8,17,2,24,0,0,0,3,81,5,2,0,64
12,61,170,3,78,18,3,0,71,36,5,2,21,3,57,0,0,0,111,90,4,3,3,100
13,68,373,12,88,21,0,0,90,-8,5,6,21,0,19,0,4,4,50,-8,6,1,4,58
14,89,122,5,60,44,0,0,100,-7,6,7,56,3,79,-7,3,3,2,97,1,4,0,63
15,86,403,3,131,18,0,0,100,-7,7,8,21,2,24,0,4,4,2,-8,4,-8,0,40
16,59,81,6,41,27,5,5,100,-7,0,8,27,2,44,1,4,4,49,73,6,4,2,71
17,74,183,1,48,11,0,0,100,-7,7,8,12,2,25,-7,2,1,58,31,3,2,1,83
18,75,230,2,95,19,0,0,100,-7,7,8,21,3,33,0,2,2,47,-8,6,1,1,70
19,69,244,3,73,25,1,0,74,25,6,5,27,1,37,0,2,2,48,40,2,1,1,27
20,75,-8,3,60,29,1,1,97,29,6,2,0,2,3,3,1,1,1,-8,4,1,0,28
21,72,79,4,43,13,0,0,100,-7,7,8,13,2,54,-7,3,3,84,-8,3,1,1,80
22,78,272,4,90,14,0,0,100,-7,7,8,25,2,29,-7,0,0,32,-8,6,1,2,78
23,87,247,21,97,19,0,0,100,-7,7,8,20,0,45,0,0,0,3,39,1,1,0,33
24,69,312,15,94,27,1,0,82,11,4,5,30,0,18,15,0,0,54,62,2,2,1,56
25,79,444,1,126,19,1,1,95,44,6,2,22,2,45,2,1,1,4,75,3,2,0,63
26,90,175,38,132,11,0,0,100,-7,7,8,11,0,45,-8,0,0,0,-8,0,-8,0,0
27,64,178,3,65,31,0,0,100,-7,7,8,31,1,10,14,0,0,80,-8,15,1,11,84
28,65,77,13,52,11,3,3,83,44,6,4,14,0,58,0,0,0,71,-8,2,1,2,60
29,78,208,13,112,16,0,0,94,3,4,6,17,0,76,-7,0,0,0,-8,0,1,0,50
30,67,164,1,56,39,0,0,98,72,6,6,40,4,50,0,3,3,61,18,3,3,2,78
