index,RiskPerformance
0,RIS_1
1,RIS_0
2,RIS_1
3,RIS_1
4,RIS_1
5,RIS_0
6,RIS_1
7,RIS_1
8,RIS_0
9,RIS_1
10,RIS_0
11,RIS_1
12,RIS_0
13,RIS_0
14,RIS_1
15,RIS_1
16,RIS_0
17,RIS_0
18,RIS_1
19,RIS_0
20,RIS_1
21,RIS_0
22,RIS_0
23,RIS_1
24,RIS_1
25,RIS_1
26,RIS_1
27,RIS_1
28,RIS_0
29,RIS_1
30,RIS_0
31,RIS_1
32,RIS_0
33,RIS_1
34,RIS_0
35,RIS_1
36,RIS_1
37,RIS_1
38,RIS_0
39,RIS_0
40,RIS_1
41,RIS_0
42,RIS_0
43,RIS_1
44,RIS_1
45,RIS_0
46,RIS_1
47,RIS_1
48,RIS_0
49,RIS_0
50,RIS_0
51,RIS_0
52,RIS_0
53,RIS_1
54,RIS_0
55,RIS_0
56,RIS_0
57,RIS_0
58,RIS_1
59,RIS_0
60,RIS_1
61,RIS_0
62,RIS_0
63,RIS_1
64,RIS_0
65,RIS_1
66,RIS_0
67,RIS_0
68,RIS_1
69,RIS_0
70,RIS_0
71,RIS_0
72,RIS_0
73,RIS_0
74,RIS_1
75,RIS_0
76,RIS_1
77,RIS_0
78,RIS_0
79,RIS_1
80,RIS_0
81,RIS_1
82,RIS_1
83,RIS_0
84,RIS_0
85,RIS_0
86,RIS_1
87,RIS_1
88,RIS_0
89,RIS_0
90,RIS_1
91,RIS_0
92,RIS_0
93,RIS_1
94,RIS_0
95,RIS_1
96,RIS_0
97,RIS_0
98,RIS_1
99,RIS_1
100,RIS_1
101,RIS_0
102,RIS_1
103,RIS_1
104,RIS_0
105,RIS_1
106,RIS_1
107,RIS_0
108,RIS_1
109,RIS_1
110,RIS_1
111,RIS_1
112,RIS_0
113,RIS_1
114,RIS_0
115,RIS_0
116,RIS_0
117,RIS_0
118,RIS_0
119,RIS_1
120,RIS_1
121,RIS_1
122,RIS_1
123,RIS_1
124,RIS_0
125,RIS_1
126,RIS_1
127,RIS_0
128,RIS_1
129,RIS_1
130,RIS_0
131,RIS_1
132,RIS_0
133,RIS_0
134,RIS_1
135,RIS_0
136,RIS_1
137,RIS_0
138,RIS_0
139,RIS_0
140,RIS_0
141,RIS_0
142,RIS_0
143,RIS_0
144,RIS_0
145,RIS_0
146,RIS_1
147,RIS_1
148,RIS_1
149,RIS_1
150,RIS_0
151,RIS_1
152,RIS_1
153,RIS_0
154,RIS_0
155,RIS_1
156,RIS_1
157,RIS_1
158,RIS_1
159,RIS_1
160,RIS_1
161,RIS_0
162,RIS_0
163,RIS_1
164,RIS_0
165,RIS_0
166,RIS_1
167,RIS_1
168,RIS_1
169,RIS_0
170,RIS_1
171,RIS_0
172,RIS_1
173,RIS_1
174,RIS_0
175,RIS_0
176,RIS_0
177,RIS_1
178,RIS_1
179,RIS_1
180,RIS_0
181,RIS_0
182,RIS_0
183,RIS_0
184,RIS_0
185,RIS_0
186,RIS_0
187,RIS_0
188,RIS_1
189,RIS_0
190,RIS_0
191,RIS_1
192,RIS_0
193,RIS_0
194,RIS_0
195,RIS_1
196,RIS_1
197,RIS_1
198,RIS_0
199,RIS_0
200,RIS_0
201,RIS_0
202,RIS_1
203,RIS_0
204,RIS_1
205,RIS_0
206,RIS_0
207,RIS_0
208,RIS_1
209,RIS_0
210,RIS_0
