age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
41,WOR_0,100451,EDU_1,9,MAR_1,OCC_6,REL_1,RAC_1,GEN_0,7688,0,38,NAT_0,INC_1
64,WOR_0,102041,EDU_0,7,MAR_1,OCC_10,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
36,WOR_0,75826,EDU_4,6,MAR_4,OCC_0,REL_2,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
27,WOR_0,142621,EDU_7,13,MAR_0,OCC_5,REL_2,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
46,WOR_0,345073,EDU_1,9,MAR_3,OCC_8,REL_2,RAC_1,GEN_0,0,0,48,NAT_0,INC_1
49,WOR_4,195437,EDU_2,12,MAR_1,OCC_7,REL_1,RAC_1,GEN_0,0,0,60,NAT_0,INC_1
29,WOR_1,187649,EDU_1,9,MAR_4,OCC_2,REL_5,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
28,WOR_5,297735,EDU_5,15,MAR_0,OCC_5,REL_2,RAC_1,GEN_0,0,0,90,NAT_0,INC_0
28,WOR_0,411950,EDU_1,9,MAR_3,OCC_7,REL_2,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
37,WOR_0,190987,EDU_3,10,MAR_1,OCC_10,REL_4,RAC_1,GEN_1,7298,0,40,NAT_0,INC_1
42,WOR_0,276218,EDU_1,9,MAR_1,OCC_10,REL_4,RAC_1,GEN_1,0,0,40,NAT_0,INC_1
51,WOR_3,194259,EDU_8,14,MAR_1,OCC_5,REL_4,RAC_1,GEN_1,15024,0,55,NAT_1,INC_1
51,WOR_0,194259,EDU_7,13,MAR_3,OCC_9,REL_3,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
32,WOR_4,72630,EDU_5,15,MAR_0,OCC_5,REL_2,RAC_1,GEN_0,14084,0,55,NAT_0,INC_1
30,WOR_5,576645,EDU_7,13,MAR_1,OCC_2,REL_1,RAC_0,GEN_0,0,0,40,NAT_0,INC_0
44,WOR_0,81853,EDU_1,9,MAR_0,OCC_10,REL_2,RAC_2,GEN_1,0,0,40,NAT_0,INC_0
40,WOR_1,321187,EDU_7,13,MAR_0,OCC_5,REL_3,RAC_1,GEN_1,0,0,45,NAT_0,INC_0
21,WOR_2,221418,EDU_3,10,MAR_0,OCC_3,REL_0,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
50,WOR_0,257126,EDU_1,9,MAR_1,OCC_6,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_1
33,WOR_3,93930,EDU_1,9,MAR_1,OCC_8,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
22,WOR_0,157541,EDU_1,9,MAR_1,OCC_13,REL_1,RAC_1,GEN_0,0,0,50,NAT_0,INC_0
37,WOR_0,516701,EDU_8,14,MAR_0,OCC_8,REL_2,RAC_0,GEN_0,0,1564,50,NAT_1,INC_1
35,WOR_2,171062,EDU_7,13,MAR_0,OCC_3,REL_2,RAC_0,GEN_0,0,0,40,NAT_21,INC_0
43,WOR_0,110970,EDU_7,13,MAR_1,OCC_5,REL_1,RAC_1,GEN_0,0,1902,40,NAT_0,INC_1
44,WOR_1,193425,EDU_8,14,MAR_1,OCC_5,REL_4,RAC_1,GEN_1,4386,0,40,NAT_0,INC_1
56,WOR_0,275236,EDU_7,13,MAR_1,OCC_0,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
22,WOR_0,180449,EDU_3,10,MAR_1,OCC_13,REL_1,RAC_1,GEN_0,0,0,28,NAT_0,INC_0
51,WOR_0,146767,EDU_11,11,MAR_1,OCC_5,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_1
73,WOR_3,233882,EDU_1,9,MAR_1,OCC_1,REL_1,RAC_2,GEN_0,0,2457,40,NAT_13,INC_0
48,WOR_0,99385,EDU_1,9,MAR_4,OCC_7,REL_2,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
34,WOR_0,209768,EDU_7,13,MAR_1,OCC_8,REL_1,RAC_1,GEN_0,15024,0,60,NAT_0,INC_1
28,WOR_0,113635,EDU_13,8,MAR_0,OCC_6,REL_2,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
29,WOR_0,272715,EDU_4,6,MAR_3,OCC_4,REL_2,RAC_1,GEN_1,0,0,30,NAT_0,INC_0
42,WOR_0,251239,EDU_12,5,MAR_0,OCC_1,REL_2,RAC_1,GEN_0,0,0,40,NAT_12,INC_0
38,WOR_0,246463,EDU_1,9,MAR_1,OCC_6,REL_1,RAC_1,GEN_0,0,0,45,NAT_0,INC_0
38,WOR_0,99146,EDU_1,9,MAR_1,OCC_12,REL_1,RAC_1,GEN_0,0,0,65,NAT_0,INC_0
41,WOR_0,102332,EDU_1,9,MAR_3,OCC_10,REL_3,RAC_0,GEN_1,0,0,40,NAT_0,INC_0
33,WOR_0,304833,EDU_7,13,MAR_1,OCC_10,REL_1,RAC_1,GEN_0,0,0,45,NAT_0,INC_1
26,WOR_6,266639,EDU_7,13,MAR_0,OCC_7,REL_2,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
62,WOR_2,97231,EDU_3,10,MAR_1,OCC_3,REL_4,RAC_1,GEN_1,0,0,1,NAT_0,INC_0
20,WOR_2,200061,EDU_3,10,MAR_0,OCC_3,REL_0,RAC_1,GEN_1,0,0,40,NAT_1,INC_0
32,WOR_0,171813,EDU_7,13,MAR_0,OCC_5,REL_0,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
36,WOR_0,185394,EDU_1,9,MAR_0,OCC_7,REL_3,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
39,WOR_3,218490,EDU_5,15,MAR_1,OCC_5,REL_1,RAC_1,GEN_0,0,2415,50,NAT_1,INC_1
54,WOR_0,231342,EDU_2,12,MAR_3,OCC_10,REL_2,RAC_1,GEN_0,0,0,32,NAT_0,INC_0
35,WOR_3,319831,EDU_3,10,MAR_1,OCC_1,REL_1,RAC_1,GEN_0,0,0,60,NAT_0,INC_0
32,WOR_0,235124,EDU_13,8,MAR_3,OCC_4,REL_2,RAC_1,GEN_0,0,0,30,NAT_1,INC_0
41,WOR_0,168293,EDU_8,14,MAR_3,OCC_8,REL_3,RAC_1,GEN_1,0,0,45,NAT_0,INC_0
28,WOR_0,261725,EDU_1,9,MAR_0,OCC_4,REL_3,RAC_1,GEN_1,0,0,40,NAT_4,INC_0
