index,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad
0,32,EMP_0,GRA_0,800000,7,0,FRE_0,EVE_0
1,34,EMP_1,GRA_0,1000000,5,0,FRE_0,EVE_0
2,28,EMP_1,GRA_0,750000,3,0,FRE_0,EVE_0
3,25,EMP_1,GRA_0,1700000,3,0,FRE_1,EVE_0
4,30,EMP_1,GRA_1,500000,7,1,FRE_0,EVE_0
5,34,EMP_1,GRA_0,700000,2,1,FRE_1,EVE_0
6,31,EMP_0,GRA_0,1500000,3,0,FRE_1,EVE_1
7,29,EMP_1,GRA_0,900000,4,0,FRE_0,EVE_0
8,25,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1
9,30,EMP_1,GRA_1,500000,8,0,FRE_0,EVE_0
10,27,EMP_0,GRA_0,900000,7,1,FRE_0,EVE_0
11,28,EMP_1,GRA_0,1250000,4,1,FRE_0,EVE_0
12,35,EMP_1,GRA_1,800000,5,0,FRE_0,EVE_0
13,28,EMP_1,GRA_0,600000,5,0,FRE_1,EVE_0
14,31,EMP_1,GRA_0,1400000,5,0,FRE_1,EVE_1
15,28,EMP_0,GRA_0,300000,3,1,FRE_0,EVE_0
16,31,EMP_0,GRA_0,1200000,3,0,FRE_0,EVE_0
17,28,EMP_1,GRA_0,1200000,6,1,FRE_0,EVE_0
18,28,EMP_1,GRA_0,750000,4,0,FRE_0,EVE_0
19,33,EMP_0,GRA_0,700000,3,0,FRE_0,EVE_0
20,33,EMP_0,GRA_0,700000,4,0,FRE_0,EVE_0
21,31,EMP_0,GRA_0,400000,6,1,FRE_0,EVE_0
22,28,EMP_1,GRA_0,900000,3,0,FRE_0,EVE_0
23,31,EMP_0,GRA_1,300000,3,0,FRE_0,EVE_0
24,28,EMP_0,GRA_0,300000,6,0,FRE_0,EVE_0
25,32,EMP_0,GRA_0,900000,6,1,FRE_0,EVE_0
26,25,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1
27,29,EMP_1,GRA_0,1050000,5,0,FRE_0,EVE_0
28,27,EMP_0,GRA_0,850000,7,1,FRE_0,EVE_0
29,25,EMP_1,GRA_0,1400000,5,1,FRE_0,EVE_1
30,25,EMP_1,GRA_1,1150000,5,0,FRE_0,EVE_0
31,25,EMP_1,GRA_0,1400000,3,1,FRE_0,EVE_1
32,25,EMP_1,GRA_1,600000,5,0,FRE_1,EVE_0
33,28,EMP_1,GRA_0,1200000,6,1,FRE_0,EVE_0
34,28,EMP_0,GRA_0,600000,4,0,FRE_0,EVE_0
35,34,EMP_1,GRA_0,1050000,7,0,FRE_1,EVE_0
36,28,EMP_0,GRA_0,300000,4,0,FRE_0,EVE_0
37,31,EMP_1,GRA_0,1350000,4,0,FRE_0,EVE_1
38,28,EMP_0,GRA_0,600000,4,0,FRE_0,EVE_0
39,31,EMP_1,GRA_0,900000,6,0,FRE_0,EVE_0
40,35,EMP_1,GRA_1,800000,6,1,FRE_0,EVE_1
41,34,EMP_1,GRA_0,1000000,2,0,FRE_0,EVE_0
42,34,EMP_0,GRA_0,1300000,4,1,FRE_0,EVE_0
43,32,EMP_0,GRA_0,800000,6,0,FRE_0,EVE_0
44,29,EMP_1,GRA_0,1750000,6,0,FRE_0,EVE_0
45,25,EMP_0,GRA_0,750000,3,0,FRE_0,EVE_1
46,33,EMP_0,GRA_0,1100000,3,0,FRE_0,EVE_0
47,33,EMP_1,GRA_0,1400000,4,1,FRE_0,EVE_1
48,28,EMP_1,GRA_0,800000,5,0,FRE_0,EVE_0
49,26,EMP_1,GRA_0,1250000,4,0,FRE_0,EVE_0
50,28,EMP_1,GRA_0,1150000,4,1,FRE_0,EVE_0
51,34,EMP_1,GRA_0,1000000,5,1,FRE_0,EVE_0
52,29,EMP_1,GRA_0,1350000,3,1,FRE_1,EVE_1
53,34,EMP_1,GRA_0,500000,4,1,FRE_0,EVE_0
54,30,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0
55,34,EMP_1,GRA_0,850000,5,1,FRE_1,EVE_0
56,29,EMP_1,GRA_0,1050000,4,0,FRE_0,EVE_0
57,28,EMP_1,GRA_1,550000,6,0,FRE_0,EVE_0
58,27,EMP_0,GRA_0,500000,6,0,FRE_0,EVE_0
59,33,EMP_0,GRA_1,400000,4,0,FRE_0,EVE_0
60,28,EMP_1,GRA_0,700000,5,0,FRE_0,EVE_0
61,27,EMP_0,GRA_0,500000,5,0,FRE_0,EVE_0
62,28,EMP_0,GRA_0,1100000,4,0,FRE_0,EVE_0
63,25,EMP_0,GRA_0,750000,6,0,FRE_0,EVE_0
64,34,EMP_1,GRA_0,700000,3,0,FRE_0,EVE_0
65,29,EMP_1,GRA_0,1100000,5,1,FRE_0,EVE_0
66,26,EMP_1,GRA_0,1400000,5,0,FRE_0,EVE_1
67,31,EMP_1,GRA_0,1250000,5,0,FRE_0,EVE_0
68,30,EMP_1,GRA_1,650000,3,0,FRE_0,EVE_1
69,28,EMP_1,GRA_1,550000,3,0,FRE_0,EVE_0
70,28,EMP_0,GRA_0,600000,9,0,FRE_1,EVE_0
71,29,EMP_1,GRA_0,1200000,5,1,FRE_0,EVE_0
72,34,EMP_0,GRA_0,1100000,9,0,FRE_0,EVE_0
73,26,EMP_1,GRA_0,1400000,4,1,FRE_0,EVE_1
74,28,EMP_1,GRA_0,800000,4,0,FRE_0,EVE_0
75,28,EMP_1,GRA_0,1200000,3,1,FRE_1,EVE_0
76,31,EMP_1,GRA_0,1400000,7,0,FRE_0,EVE_1
77,27,EMP_0,GRA_0,1050000,2,0,FRE_0,EVE_0
78,34,EMP_1,GRA_0,500000,6,0,FRE_0,EVE_0
79,32,EMP_0,GRA_0,850000,7,0,FRE_0,EVE_1
80,32,EMP_0,GRA_0,850000,7,0,FRE_0,EVE_0
81,27,EMP_0,GRA_0,500000,4,0,FRE_0,EVE_0
82,28,EMP_0,GRA_0,300000,6,1,FRE_0,EVE_0
83,28,EMP_0,GRA_0,300000,2,0,FRE_0,EVE_0
84,29,EMP_1,GRA_0,500000,4,0,FRE_0,EVE_0
85,34,EMP_0,GRA_0,1100000,6,1,FRE_0,EVE_0
86,31,EMP_1,GRA_0,1400000,4,0,FRE_0,EVE_1
87,31,EMP_1,GRA_0,1250000,7,0,FRE_0,EVE_0
