Unnamed: 0,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance
1557,32,EMP_0,GRA_0,800000,7,0,FRE_0,EVE_0,0
1634,34,EMP_1,GRA_0,1000000,5,0,FRE_0,EVE_0,0
105,28,EMP_1,GRA_0,750000,3,0,FRE_0,EVE_0,0
1253,25,EMP_1,GRA_0,1700000,3,0,FRE_1,EVE_0,1
1761,30,EMP_1,GRA_1,500000,7,1,FRE_0,EVE_0,0
1177,34,EMP_1,GRA_0,700000,2,1,FRE_1,EVE_0,0
833,31,EMP_0,GRA_0,1500000,3,0,FRE_1,EVE_1,1
478,29,EMP_1,GRA_0,900000,4,0,FRE_0,EVE_0,0
1819,25,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1,1
1043,30,EMP_1,GRA_1,500000,8,0,FRE_0,EVE_0,0
159,27,EMP_0,GRA_0,900000,7,1,FRE_0,EVE_0,0
82,28,EMP_1,GRA_0,1250000,4,1,FRE_0,EVE_0,0
1822,35,EMP_1,GRA_1,800000,5,0,FRE_0,EVE_0,0
134,28,EMP_1,GRA_0,600000,5,0,FRE_1,EVE_0,0
1290,31,EMP_1,GRA_0,1400000,5,0,FRE_1,EVE_1,1
1625,28,EMP_0,GRA_0,300000,3,1,FRE_0,EVE_0,1
799,31,EMP_0,GRA_0,1200000,3,0,FRE_0,EVE_0,0
1852,28,EMP_1,GRA_0,1200000,6,1,FRE_0,EVE_0,0
131,28,EMP_1,GRA_0,750000,4,0,FRE_0,EVE_0,0
1205,33,EMP_0,GRA_0,700000,3,0,FRE_0,EVE_0,0
1128,33,EMP_0,GRA_0,700000,4,0,FRE_0,EVE_0,0
853,31,EMP_0,GRA_0,400000,6,1,FRE_0,EVE_0,0
1336,28,EMP_1,GRA_0,900000,3,0,FRE_0,EVE_0,0
1029,31,EMP_0,GRA_1,300000,3,0,FRE_0,EVE_0,0
87,28,EMP_0,GRA_0,300000,6,0,FRE_0,EVE_0,0
1493,32,EMP_0,GRA_0,900000,6,1,FRE_0,EVE_0,0
986,25,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1,1
1832,29,EMP_1,GRA_0,1050000,5,0,FRE_0,EVE_0,0
168,27,EMP_0,GRA_0,850000,7,1,FRE_0,EVE_0,0
1594,25,EMP_1,GRA_0,1400000,5,1,FRE_0,EVE_1,1
528,25,EMP_1,GRA_1,1150000,5,0,FRE_0,EVE_0,0
697,25,EMP_1,GRA_0,1400000,3,1,FRE_0,EVE_1,1
153,25,EMP_1,GRA_1,600000,5,0,FRE_1,EVE_0,0
221,28,EMP_1,GRA_0,1200000,6,1,FRE_0,EVE_0,0
1425,28,EMP_0,GRA_0,600000,4,0,FRE_0,EVE_0,0
480,34,EMP_1,GRA_0,1050000,7,0,FRE_1,EVE_0,1
1475,28,EMP_0,GRA_0,300000,4,0,FRE_0,EVE_0,0
1076,31,EMP_1,GRA_0,1350000,4,0,FRE_0,EVE_1,1
903,28,EMP_0,GRA_0,600000,4,0,FRE_0,EVE_0,0
1444,31,EMP_1,GRA_0,900000,6,0,FRE_0,EVE_0,0
1690,35,EMP_1,GRA_1,800000,6,1,FRE_0,EVE_1,1
229,34,EMP_1,GRA_0,1000000,2,0,FRE_0,EVE_0,0
479,34,EMP_0,GRA_0,1300000,4,1,FRE_0,EVE_0,0
554,32,EMP_0,GRA_0,800000,6,0,FRE_0,EVE_0,0
953,29,EMP_1,GRA_0,1750000,6,0,FRE_0,EVE_0,0
1334,25,EMP_0,GRA_0,750000,3,0,FRE_0,EVE_1,1
1192,33,EMP_0,GRA_0,1100000,3,0,FRE_0,EVE_0,1
476,33,EMP_1,GRA_0,1400000,4,1,FRE_0,EVE_1,1
111,28,EMP_1,GRA_0,800000,5,0,FRE_0,EVE_0,0
839,26,EMP_1,GRA_0,1250000,4,0,FRE_0,EVE_0,1
819,28,EMP_1,GRA_0,1150000,4,1,FRE_0,EVE_0,0
1154,34,EMP_1,GRA_0,1000000,5,1,FRE_0,EVE_0,0
1222,29,EMP_1,GRA_0,1350000,3,1,FRE_1,EVE_1,0
2,34,EMP_1,GRA_0,500000,4,1,FRE_0,EVE_0,1
1325,30,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0,1
1647,34,EMP_1,GRA_0,850000,5,1,FRE_1,EVE_0,0
892,29,EMP_1,GRA_0,1050000,4,0,FRE_0,EVE_0,0
752,28,EMP_1,GRA_1,550000,6,0,FRE_0,EVE_0,1
703,27,EMP_0,GRA_0,500000,6,0,FRE_0,EVE_0,0
539,33,EMP_0,GRA_1,400000,4,0,FRE_0,EVE_0,0
409,28,EMP_1,GRA_0,700000,5,0,FRE_0,EVE_0,0
781,27,EMP_0,GRA_0,500000,5,0,FRE_0,EVE_0,1
1964,28,EMP_0,GRA_0,1100000,4,0,FRE_0,EVE_0,0
1494,25,EMP_0,GRA_0,750000,6,0,FRE_0,EVE_0,1
1718,34,EMP_1,GRA_0,700000,3,0,FRE_0,EVE_0,1
1090,29,EMP_1,GRA_0,1100000,5,1,FRE_0,EVE_0,0
103,26,EMP_1,GRA_0,1400000,5,0,FRE_0,EVE_1,1
1331,31,EMP_1,GRA_0,1250000,5,0,FRE_0,EVE_0,1
191,30,EMP_1,GRA_1,650000,3,0,FRE_0,EVE_1,0
1302,28,EMP_1,GRA_1,550000,3,0,FRE_0,EVE_0,1
1116,28,EMP_0,GRA_0,600000,9,0,FRE_1,EVE_0,1
943,29,EMP_1,GRA_0,1200000,5,1,FRE_0,EVE_0,0
1095,34,EMP_0,GRA_0,1100000,9,0,FRE_0,EVE_0,1
909,26,EMP_1,GRA_0,1400000,4,1,FRE_0,EVE_1,1
451,28,EMP_1,GRA_0,800000,4,0,FRE_0,EVE_0,0
1579,28,EMP_1,GRA_0,1200000,3,1,FRE_1,EVE_0,0
416,31,EMP_1,GRA_0,1400000,7,0,FRE_0,EVE_1,1
1392,27,EMP_0,GRA_0,1050000,2,0,FRE_0,EVE_0,1
268,34,EMP_1,GRA_0,500000,6,0,FRE_0,EVE_0,1
1173,32,EMP_0,GRA_0,850000,7,0,FRE_0,EVE_1,1
312,32,EMP_0,GRA_0,850000,7,0,FRE_0,EVE_0,0
1262,27,EMP_0,GRA_0,500000,4,0,FRE_0,EVE_0,1
1293,28,EMP_0,GRA_0,300000,6,1,FRE_0,EVE_0,0
1196,28,EMP_0,GRA_0,300000,2,0,FRE_0,EVE_0,0
