ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
80,428,22,99,27,0,0,100,69,7,8,24,4,50,4,1,1,5,70,7,2,0,81,RIS_1
73,198,9,81,37,0,0,90,12,4,6,23,0,63,-7,0,1,61,-7,6,4,7,92,RIS_1
83,172,12,47,5,0,0,100,-6,7,8,22,1,20,18,1,2,4,52,2,2,2,18,RIS_1
91,153,3,78,19,0,0,100,-7,7,8,16,1,45,-7,1,1,9,-8,2,-8,1,79,RIS_1
62,198,5,102,39,1,0,93,70,6,5,18,1,30,0,0,1,11,64,2,2,1,80,RIS_1
89,57,30,60,11,0,0,100,-7,7,8,16,2,51,-7,1,1,-7,100,2,2,0,71,RIS_1
90,270,7,54,30,0,0,100,-7,7,8,16,2,42,3,1,2,4,21,4,5,0,44,RIS_1
89,85,8,78,24,0,0,100,-7,7,8,26,1,24,21,1,3,2,59,3,2,1,33,RIS_1
84,227,4,71,5,0,0,91,51,6,6,23,4,19,8,0,0,53,57,0,1,3,86,RIS_1
90,261,6,87,4,0,0,100,-7,6,8,25,8,33,-7,0,0,59,15,5,2,5,77,RIS_1
78,159,6,80,22,0,0,95,4,7,6,41,2,55,9,1,2,73,-8,4,2,1,81,RIS_1
81,191,7,50,41,0,0,100,-7,7,8,25,3,30,1,1,5,-1,-8,3,3,0,40,RIS_1
86,219,3,79,22,0,0,100,-7,7,8,17,4,35,0,1,1,0,23,6,2,0,22,RIS_1
60,73,17,91,17,1,0,89,4,6,4,20,0,32,-7,0,0,49,50,9,1,1,62,RIS_1
84,128,23,99,13,0,0,100,34,7,8,22,1,25,1,2,0,-1,-7,1,4,0,81,RIS_1
81,217,7,50,32,0,0,100,-7,7,8,50,1,5,-7,1,1,5,37,7,3,0,87,RIS_1
78,192,7,72,25,0,0,96,3,6,6,14,2,31,4,0,0,72,60,4,4,0,76,RIS_1
72,138,13,91,28,1,0,100,-7,6,8,15,2,28,1,1,1,8,-9,8,-8,0,49,RIS_1
90,334,2,56,31,0,0,100,-7,7,6,53,2,50,-8,2,2,13,85,6,2,2,75,RIS_1
79,146,5,86,27,0,0,100,9,7,4,30,6,31,0,0,0,49,16,2,1,0,75,RIS_1
80,189,7,44,66,0,0,100,-7,7,8,49,1,48,-7,4,1,8,89,4,2,1,40,RIS_1
82,161,3,75,16,0,0,100,-7,7,8,14,0,45,1,3,1,19,-7,4,2,1,75,RIS_1
90,63,36,24,10,0,0,100,-7,7,8,6,2,35,16,1,1,1,12,2,2,1,44,RIS_1
89,196,15,167,26,0,0,100,-7,7,8,17,3,30,-7,1,2,1,-8,4,2,0,32,RIS_1
88,153,27,67,23,0,0,100,-7,7,8,24,2,52,-8,1,1,1,-8,2,2,0,77,RIS_1
86,13,12,84,40,0,0,100,-7,7,8,19,0,27,0,6,1,8,-9,3,2,1,78,RIS_1
92,168,2,80,20,0,0,100,-7,7,8,32,3,47,0,1,1,1,48,3,2,0,28,RIS_1
86,228,5,47,13,0,0,100,-7,7,8,38,2,32,5,1,2,4,-6,5,2,0,36,RIS_1
78,337,5,85,29,0,0,100,-7,7,8,40,3,36,2,0,0,11,85,3,2,0,83,RIS_1
58,127,4,95,17,0,0,100,-7,7,8,30,0,31,-7,3,1,39,32,6,2,0,83,RIS_1
83,222,7,64,28,0,0,100,-7,7,8,33,2,30,2,2,1,47,25,4,1,0,81,RIS_1
60,168,7,69,32,2,1,95,24,6,3,37,1,32,-7,0,0,64,-9,9,4,1,78,RIS_1
73,155,5,46,23,0,0,100,-7,7,8,20,1,71,-7,1,0,4,-8,2,-8,-8,33,RIS_1
84,242,68,124,35,0,0,100,-7,7,8,29,2,19,-8,1,1,44,7,2,3,0,77,RIS_1
81,200,5,65,30,0,0,100,-7,7,8,26,5,33,-7,1,1,-4,88,2,-8,0,51,RIS_1
82,332,10,72,27,0,0,90,65,6,7,11,2,48,0,0,10,1,-9,7,2,0,40,RIS_1
67,153,3,109,21,1,0,89,17,6,5,12,0,63,-7,0,3,31,-8,0,2,0,99,RIS_1
66,162,4,108,45,0,0,98,2,6,6,34,5,19,17,1,3,41,65,9,4,1,78,RIS_1
73,166,20,15,33,1,0,100,-7,7,8,15,4,15,-7,2,1,7,-7,5,2,1,41,RIS_1
92,30,4,79,10,0,0,100,-7,7,8,15,4,23,-8,1,6,6,64,2,2,0,29,RIS_1
86,179,24,139,18,0,0,100,-7,7,8,20,2,38,-7,1,1,0,81,2,2,1,74,RIS_1
76,106,3,96,31,0,0,100,-7,7,8,15,3,28,1,1,2,9,78,2,4,0,57,RIS_1
91,59,36,51,31,0,0,100,-7,7,8,20,2,43,-8,1,1,-2,102,2,2,0,37,RIS_1
66,238,3,76,32,0,1,96,19,6,6,19,0,51,-8,0,1,54,93,6,1,1,78,RIS_1
68,213,3,78,25,0,1,79,36,6,6,38,1,19,-7,0,2,6,-7,2,2,0,68,RIS_1
78,298,7,107,53,1,1,86,31,6,5,4,0,46,-7,0,1,19,-9,4,2,1,77,RIS_1
64,216,9,107,31,1,0,89,18,6,5,30,0,35,0,0,2,9,55,9,7,1,66,RIS_1
84,229,2,54,14,0,0,100,-7,7,8,18,2,54,-7,1,9,2,17,2,2,0,8,RIS_1
67,169,9,114,13,1,1,78,24,6,2,11,0,46,0,0,0,-1,-9,4,2,0,100,RIS_1
58,377,12,106,66,1,0,96,2,4,6,42,2,36,2,0,1,74,86,2,2,1,55,RIS_1
88,87,36,42,23,0,0,100,-7,7,8,24,4,23,14,1,1,35,53,6,4,0,37,RIS_1
88,19,8,66,9,0,0,100,-7,7,8,12,4,41,-7,1,1,1,-8,1,2,0,56,RIS_1
86,88,5,49,42,0,0,100,-7,7,8,21,1,19,-8,1,6,12,49,1,4,0,37,RIS_1
80,284,2,47,33,0,0,96,32,6,6,66,5,62,-7,3,3,37,-9,6,5,0,81,RIS_1
87,240,31,51,49,0,0,100,-7,7,8,25,0,35,-8,0,0,2,18,1,3,1,88,RIS_1
82,193,5,72,29,0,0,100,-7,7,8,12,1,38,14,1,3,65,-8,4,4,2,92,RIS_1
79,293,19,111,43,1,0,91,35,4,5,19,0,25,-7,0,0,39,82,3,3,0,65,RIS_1
83,175,3,70,25,0,0,100,-7,7,8,25,2,56,7,1,3,1,70,3,3,0,30,RIS_1
77,248,3,46,17,0,0,100,-7,7,8,31,2,13,2,1,0,11,-9,7,2,2,53,RIS_1
78,239,6,97,23,0,0,100,-7,7,8,30,1,61,-7,0,3,0,42,2,2,3,34,RIS_1
82,254,17,52,25,0,0,95,28,6,6,17,6,70,-8,4,3,1,39,3,3,0,92,RIS_1
81,180,6,82,29,0,0,100,-7,7,6,52,4,32,-7,1,4,3,91,6,2,0,43,RIS_1
62,247,6,62,9,0,0,100,-7,6,8,25,4,16,-7,1,1,7,16,3,4,1,71,RIS_1
85,197,4,41,18,0,0,100,-7,7,8,22,0,23,0,1,1,-4,88,4,2,0,9,RIS_1
86,150,10,51,13,0,0,100,-7,7,8,17,2,46,-8,1,2,4,-7,0,2,0,72,RIS_1
89,90,7,55,23,0,0,100,-7,7,8,53,3,26,-7,1,2,2,88,1,2,1,69,RIS_1
89,344,8,52,25,0,0,93,52,3,6,25,0,38,1,0,2,2,-9,2,4,0,66,RIS_1
89,171,3,78,21,0,0,100,-7,7,8,22,3,36,-7,2,3,35,96,5,3,4,48,RIS_1
91,237,6,37,35,0,0,100,-7,7,8,40,2,37,9,1,1,11,-8,2,2,0,52,RIS_1
90,64,7,65,59,0,0,100,-7,7,8,18,3,27,9,2,1,35,-7,3,3,1,62,RIS_1
75,244,2,110,56,0,0,94,70,4,6,24,2,31,14,1,0,47,92,5,3,1,87,RIS_1
75,200,3,36,25,0,0,98,29,6,6,60,4,49,-7,2,2,45,13,12,2,2,80,RIS_1
89,136,2,64,37,0,0,100,-7,7,8,6,3,9,-7,1,1,-1,-7,0,2,0,34,RIS_1
91,113,4,104,24,0,0,100,-7,7,8,24,1,40,-7,1,1,15,-8,3,2,0,68,RIS_1
82,38,32,39,21,0,0,100,-7,7,8,14,3,24,-7,1,1,-1,15,2,2,4,37,RIS_1
90,87,29,44,21,0,0,100,-7,7,8,15,3,34,-8,1,1,-2,-9,2,-8,0,62,RIS_1
86,219,8,107,7,1,0,100,-7,6,8,14,0,25,-8,1,3,1,-8,1,5,0,100,RIS_1
68,132,2,90,52,1,0,90,40,6,6,17,2,33,0,0,1,7,53,1,1,0,90,RIS_1
78,265,2,87,50,0,0,97,57,7,6,49,3,18,0,1,1,44,-9,2,3,0,49,RIS_1
73,272,8,47,58,3,0,100,-7,7,8,55,5,17,-7,4,3,3,86,4,2,0,68,RIS_1
64,184,6,85,34,0,0,93,63,6,6,36,4,56,0,2,3,12,67,4,2,0,81,RIS_1
91,157,32,47,19,0,0,100,-6,7,8,21,1,47,-7,1,2,-3,74,8,2,5,25,RIS_1
81,302,30,109,43,1,1,92,41,6,6,20,0,40,0,9,0,21,44,2,1,1,39,RIS_1
86,202,5,97,36,0,0,100,-7,7,8,12,2,11,-7,1,1,-5,-7,7,2,0,50,RIS_1
89,292,4,40,14,0,0,100,-7,7,8,29,2,24,-7,3,1,43,74,3,3,0,83,RIS_1
90,149,20,51,41,0,0,100,-7,7,8,24,3,14,-8,1,1,4,13,4,2,1,40,RIS_1
71,224,4,48,43,0,0,100,-7,7,8,28,1,10,17,2,1,0,93,3,-8,0,47,RIS_1
81,141,10,91,8,0,0,100,-6,7,8,30,2,35,19,1,0,1,42,3,2,0,76,RIS_1
91,82,5,49,11,0,0,100,-7,7,8,10,2,35,-8,1,3,0,77,4,2,0,72,RIS_1
86,67,6,104,21,0,0,100,-7,7,8,15,0,45,-7,1,0,3,-7,0,2,1,69,RIS_1
61,137,13,74,21,0,1,73,-7,6,5,14,0,48,2,0,0,29,-9,2,2,0,44,RIS_1
62,251,4,74,27,0,0,100,-7,6,6,47,3,4,1,0,1,13,86,1,1,0,41,RIS_1
83,232,23,53,18,1,0,97,9,6,5,19,0,23,-7,0,0,44,-8,3,2,2,64,RIS_1
89,62,7,47,45,0,0,100,-7,7,8,29,1,67,-8,1,1,15,78,2,2,2,71,RIS_1
87,38,7,112,14,0,0,100,-7,7,8,11,1,44,19,9,1,18,-8,1,2,1,49,RIS_1
92,143,30,94,23,0,0,100,-6,7,8,23,1,29,8,1,1,-1,47,4,2,1,22,RIS_1
86,157,5,81,28,0,0,100,-7,7,8,50,2,21,0,1,1,2,80,1,2,0,85,RIS_1
76,394,37,54,5,2,0,83,45,6,3,17,0,17,2,0,1,10,-8,4,1,1,70,RIS_1
63,232,16,76,6,1,0,91,13,6,5,17,0,24,-7,7,0,24,9,2,2,0,78,RIS_1
89,85,5,43,42,0,0,100,-7,7,8,7,3,28,-7,1,1,13,93,4,3,0,77,RIS_1
80,203,30,37,38,0,0,100,-7,7,8,28,0,23,16,2,1,-2,-8,1,-8,0,86,RIS_1
52,236,7,111,14,0,0,93,29,6,6,40,1,21,-7,0,0,51,86,0,2,0,77,RIS_1
70,162,2,57,19,3,0,91,3,4,5,11,3,26,0,2,0,3,-7,5,4,0,56,RIS_1
