ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
90,129,26,42,22,0,0,100,-7,7,8,22,3,27,-7,2,2,-1,57,4,2,0,78,RIS_1
94,163,6,93,19,0,0,100,-7,7,8,-1,2,-1,-7,1,1,4,-7,3,2,0,34,RIS_1
81,171,2,165,27,0,0,100,-7,7,8,45,3,22,2,2,3,7,76,2,2,0,76,RIS_1
87,-6,52,50,39,0,0,100,-7,7,8,23,1,30,1,1,3,41,-8,2,1,2,36,RIS_1
89,402,42,56,10,0,0,100,-7,7,8,25,3,51,19,1,0,1,25,2,-8,2,26,RIS_1
66,199,5,47,32,0,3,98,38,6,5,24,1,19,0,2,1,9,-9,3,2,1,85,RIS_1
78,0,10,118,29,0,0,100,-7,7,8,33,6,25,-7,1,0,44,59,3,3,0,50,RIS_1
67,327,5,43,26,0,3,48,28,6,8,12,2,35,-7,1,1,82,56,5,2,0,87,RIS_1
75,411,1,52,17,0,0,95,64,6,6,31,2,44,0,1,1,62,39,2,4,0,82,RIS_1
88,225,4,59,35,0,0,100,-7,7,8,24,4,28,0,1,1,2,95,4,2,0,76,RIS_1
64,143,6,164,31,1,1,91,43,0,6,28,1,23,0,0,0,0,-8,3,2,1,75,RIS_1
71,120,6,50,17,2,0,74,9,6,5,5,0,22,0,0,1,59,-8,2,1,0,33,RIS_1
71,228,5,106,34,1,0,97,-7,4,7,19,0,19,7,0,0,9,84,2,2,0,36,RIS_1
88,235,10,94,22,0,0,100,-7,7,8,14,5,39,0,0,0,0,79,3,2,0,73,RIS_1
81,431,1,42,44,0,0,100,-7,7,8,37,5,27,0,2,3,33,73,6,2,2,89,RIS_1
67,167,19,62,36,0,0,93,-7,4,8,22,0,59,0,0,0,38,-8,2,4,1,45,RIS_1
80,264,6,99,47,0,0,97,58,6,6,34,4,48,0,2,3,37,-8,3,4,1,78,RIS_1
59,243,11,56,8,1,1,68,22,6,5,8,0,29,7,0,0,5,-9,2,1,1,19,RIS_1
81,142,5,79,17,0,0,91,-7,7,6,21,1,40,-7,1,1,72,-8,7,1,0,37,RIS_1
86,277,2,77,18,2,0,100,-7,7,4,11,4,13,0,0,2,3,-9,7,2,1,52,RIS_1
73,214,5,49,37,0,0,94,38,6,6,34,3,19,0,10,0,8,33,2,4,4,73,RIS_1
72,334,12,46,25,1,1,90,38,6,6,18,2,44,-7,2,3,6,3,8,-8,0,79,RIS_1
85,181,5,39,28,0,0,100,-6,7,8,18,2,22,2,2,2,2,98,4,3,4,81,RIS_1
87,255,11,92,16,0,0,100,-7,7,8,15,1,42,-7,1,0,5,90,1,2,0,73,RIS_1
87,146,2,62,34,0,0,100,-7,7,8,19,3,35,-7,1,1,9,8,2,2,0,46,RIS_1
82,144,5,79,17,0,0,100,-7,7,8,14,2,18,0,2,3,13,49,3,-8,-8,87,RIS_1
78,178,4,99,36,1,0,93,11,6,6,21,0,30,-7,0,3,93,48,3,1,0,74,RIS_1
90,148,2,86,24,0,0,100,-6,7,8,26,4,33,-8,1,3,24,92,2,2,0,23,RIS_1
64,70,5,70,18,1,1,90,60,6,6,13,2,54,0,3,1,5,-9,2,1,1,70,RIS_1
83,132,1,46,17,0,0,100,-7,7,8,24,1,47,0,1,2,31,59,4,2,2,87,RIS_1
