synindex,RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,RIS_1,78,210,5,85,22,0,0,100,-7,7,8,25,2,45,0,1,1,15,65,3,2,0,72
1,RIS_1,85,300,8,120,30,0,0,100,-7,7,8,30,1,50,0,0,0,10,70,4,1,0,80
2,RIS_1,65,150,2,75,20,1,0,90,5,3,5,20,3,40,2,2,2,20,50,5,3,0,60
3,RIS_1,88,350,10,130,25,0,0,100,-7,7,8,28,1,30,0,2,2,12,45,3,2,1,55
4,RIS_1,70,250,1,80,32,1,0,85,6,4,3,34,3,35,0,1,1,35,45,7,3,2,58
5,RIS_1,89,310,12,110,18,0,0,100,-7,7,8,18,2,55,0,1,1,6,-7,3,2,0,68
6,RIS_1,87,375,6,150,27,0,0,100,-7,7,8,30,1,15,14,0,0,11,-7,7,1,0,76
7,RIS_1,55,120,4,60,22,2,2,70,1,3,4,28,3,60,0,1,1,7,85,3,4,0,85
8,RIS_1,75,125,3,65,19,0,0,88,8,3,5,20,2,22,-6,1,1,6,85,3,2,0,45
9,RIS_1,83,215,36,130,16,0,0,86,11,5,5,16,0,21,3,0,0,2,-7,2,2,0,52
10,RIS_0,72,170,3,85,15,1,1,88,4,0,4,32,2,15,2,0,0,15,30,10,3,0,65
11,RIS_0,76,155,2,70,21,1,0,90,14,5,4,24,4,45,4,0,0,10,60,4,5,0,65
12,RIS_0,74,70,4,45,14,0,0,88,13,5,5,4,3,25,0,0,0,9,-7,3,1,0,35
13,RIS_0,79,165,7,80,28,0,0,100,-7,7,8,42,3,35,0,0,0,23,80,5,4,0,70
14,RIS_0,81,195,20,75,14,0,0,92,30,5,5,14,0,50,14,0,0,5,55,3,3,-7,82
15,RIS_0,74,85,1,40,13,0,0,100,-7,7,8,14,2,25,-7,0,0,60,70,5,3,0,87
16,RIS_0,67,220,3,65,22,0,0,95,0,3,5,24,3,50,0,2,2,43,70,6,3,1,66
17,RIS_0,57,160,2,70,2,5,4,70,33,5,4,8,2,45,0,2,2,0,-7,1,1,0,65
18,RIS_0,63,70,4,35,5,0,0,55,2,3,5,6,2,40,0,0,0,0,75,1,2,-7,58
19,RIS_0,73,165,68,105,8,2,2,100,-7,0,7,10,0,0,0,0,0,4,-7,1,-7,0,10
20,RIS_1,78,210,5,85,25,0,0,95,-7,7,8,25,2,45,0,1,1,15,65,3,2,0,70
21,RIS_1,85,300,8,120,30,0,0,100,-7,7,8,30,1,50,0,0,0,10,70,4,1,0,75
