ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
63,276,17,160,17,1,1,95,-6,6,2,17,0,0,0,1,1,59,-7,9,-8,3,74,RIS_1
87,141,13,89,28,0,0,100,-7,7,8,29,1,24,0,1,1,3,78,2,2,1,41,RIS_1
87,464,23,136,27,0,0,100,-7,7,8,52,0,18,0,0,0,-2,-8,3,-8,0,33,RIS_1
73,164,5,114,21,1,1,92,37,6,2,33,1,43,0,2,2,2,100,1,3,0,69,RIS_1
80,152,1,83,11,1,1,100,-7,7,8,7,2,36,0,2,2,0,95,1,2,0,47,RIS_1
73,275,3,83,61,0,0,100,-6,7,8,63,4,29,0,4,4,49,68,9,4,2,87,RIS_1
70,207,1,72,20,0,0,100,-7,7,8,26,2,63,0,4,4,17,83,2,5,0,72,RIS_1
63,302,9,74,38,4,4,85,2,0,2,66,0,45,0,0,0,38,66,6,5,1,87,RIS_1
68,115,10,65,38,0,0,100,-7,6,7,33,2,50,0,1,1,44,82,6,4,1,83,RIS_1
87,489,20,105,23,1,1,95,-7,6,7,11,0,46,0,0,0,8,39,3,2,0,68,RIS_1
86,235,18,118,11,1,1,93,29,6,5,11,0,43,0,2,2,1,-8,1,1,0,18,RIS_1
72,136,3,76,21,1,1,100,-7,6,8,9,2,12,0,1,1,19,-7,3,1,0,77,RIS_1
84,211,8,79,12,0,0,100,-7,7,8,20,0,51,0,1,1,77,72,2,2,0,100,RIS_1
81,151,1,76,19,0,0,100,-7,7,8,18,2,34,0,5,5,5,95,2,2,0,56,RIS_1
80,145,3,75,20,0,0,100,-7,7,8,22,1,51,0,3,2,1,82,1,4,-8,77,RIS_1
65,461,1,130,44,1,0,96,31,6,5,56,1,34,2,3,3,11,79,5,4,0,50,RIS_1
83,-9,14,90,5,0,0,100,-7,7,8,3,1,1,0,2,2,5,-9,2,1,0,37,RIS_1
74,149,3,64,19,0,0,100,-8,7,8,14,1,23,0,0,0,36,-7,6,2,1,67,RIS_1
78,113,1,46,14,0,0,100,-7,7,8,17,2,60,0,4,3,9,90,2,3,0,89,RIS_1
86,125,6,55,26,0,0,100,-7,7,8,13,2,66,0,1,1,12,73,0,4,0,89,RIS_1
72,136,27,81,20,0,0,100,-7,7,8,22,0,34,15,0,0,64,78,6,3,2,92,RIS_1
64,341,2,76,58,1,1,95,3,4,5,61,2,20,0,2,1,8,49,5,3,0,44,RIS_1
63,179,6,77,31,1,1,100,-7,6,8,29,2,48,0,1,1,28,90,6,3,1,86,RIS_1
77,331,13,98,30,0,0,97,66,6,6,35,0,14,0,3,3,54,-9,5,2,2,53,RIS_1
75,206,2,54,14,1,1,96,66,6,6,18,3,15,0,2,2,0,-7,3,1,0,44,RIS_1
