ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
83,197,1,89,51,0,0,100,-7,7,8,35,2,14,0,2,2,23,-9,3,2,0,42,RIS_1
79,241,5,93,35,0,0,100,-8,7,8,36,1,45,0,2,1,3,83,3,4,0,35,RIS_1
67,180,12,107,26,0,0,94,52,6,6,33,1,20,0,0,0,13,82,5,2,1,58,RIS_1
68,444,3,145,47,1,1,96,13,6,5,42,1,36,0,2,2,26,71,5,4,1,51,RIS_1
74,447,7,119,67,1,1,96,25,6,2,61,1,18,23,0,0,13,48,8,2,0,35,RIS_1
71,132,8,91,20,0,0,100,-7,7,8,10,1,44,15,0,0,94,74,2,4,1,100,RIS_1
72,302,23,144,12,0,0,100,-7,6,8,16,0,22,0,1,1,72,-8,4,1,2,100,RIS_1
81,176,3,87,27,1,1,100,-7,6,8,17,1,49,0,1,1,-5,88,0,3,0,69,RIS_1
59,379,8,95,26,1,1,88,7,4,5,36,1,37,0,2,2,15,38,3,2,0,58,RIS_1
76,138,8,84,16,0,0,100,-8,7,8,20,0,49,0,0,0,-4,88,2,2,0,64,RIS_1
77,174,2,62,30,0,0,100,-7,7,8,53,7,36,1,8,8,6,101,5,4,1,54,RIS_1
65,308,8,136,36,3,2,90,9,6,2,47,1,21,0,1,1,23,-7,13,1,1,53,RIS_1
72,152,2,71,32,0,0,98,-6,6,6,33,3,45,9,0,0,13,92,5,4,0,67,RIS_1
86,493,13,100,23,0,0,100,-7,6,8,20,0,20,0,0,0,8,-8,2,1,0,53,RIS_1
87,184,5,74,3,0,0,100,-7,7,8,1,0,58,0,1,1,7,-7,1,1,0,43,RIS_1
79,346,9,96,27,0,0,100,-8,6,8,40,1,22,0,2,2,33,-9,9,1,2,54,RIS_1
71,152,3,74,38,0,0,100,-7,7,8,42,2,22,0,3,3,33,-7,9,2,2,48,RIS_1
71,463,0,86,40,0,0,96,-7,6,6,55,4,31,0,3,3,4,75,5,4,1,47,RIS_1
82,152,11,78,4,0,0,100,-7,7,8,7,1,52,0,1,1,-1,-7,1,1,0,98,RIS_1
65,377,40,107,24,1,1,95,18,6,5,38,0,5,0,0,0,54,-7,10,1,2,90,RIS_1
87,450,21,72,25,0,0,100,-6,7,8,22,0,14,0,0,0,29,-9,3,1,0,31,RIS_1
84,267,9,79,29,0,0,100,-7,7,8,35,1,18,0,1,1,7,-8,3,2,0,29,RIS_1
86,165,3,91,18,0,0,100,-7,7,8,12,1,37,19,0,0,2,-9,1,1,0,27,RIS_1
74,205,7,97,26,1,1,91,23,6,2,13,1,73,0,0,0,-1,66,1,3,0,74,RIS_1
86,329,3,110,31,0,0,100,-7,7,8,31,2,26,0,2,2,1,87,3,2,0,37,RIS_1
67,315,10,108,34,0,0,95,17,6,6,34,0,22,0,0,0,56,69,8,3,4,83,RIS_1
70,194,12,81,24,0,0,100,-7,6,8,25,1,10,0,1,1,44,-9,4,2,1,70,RIS_1
68,164,6,86,17,2,2,93,74,6,2,34,2,48,0,2,2,78,78,5,3,2,80,RIS_1
89,421,2,127,22,0,0,100,-7,7,8,27,1,23,-7,0,0,13,-8,5,1,0,28,RIS_1
78,239,10,86,25,0,0,100,-7,7,8,42,0,53,0,2,2,40,65,3,3,1,72,RIS_1
77,352,15,109,26,0,0,95,55,6,6,39,0,43,7,0,0,2,74,1,3,0,49,RIS_1
84,176,15,83,18,0,0,96,18,6,6,22,0,51,0,1,1,-2,63,1,4,0,79,RIS_1
87,121,15,110,5,0,0,100,-7,7,8,6,0,16,-8,0,0,11,-7,2,1,0,100,RIS_1
77,156,4,74,34,0,0,100,-8,7,8,21,1,47,0,1,1,-3,69,5,3,0,21,RIS_1
