Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,Target
28,EMP_1,GRA_1,842276,5,0,FRE_0,EVE_0,1
26,EMP_1,GRA_1,1214322,3,0,FRE_0,EVE_0,1
35,EMP_0,GRA_0,920683,5,0,FRE_1,EVE_0,1
28,EMP_1,GRA_0,771402,7,0,FRE_0,EVE_0,1
28,EMP_1,GRA_1,1717988,2,1,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1177580,4,0,FRE_0,EVE_0,1
25,EMP_1,GRA_0,839049,3,0,FRE_0,EVE_0,1
28,EMP_1,GRA_0,668561,7,0,FRE_0,EVE_0,1
28,EMP_1,GRA_1,1148401,5,0,FRE_0,EVE_0,1
31,EMP_0,GRA_0,963119,3,1,FRE_0,EVE_1,1
28,EMP_1,GRA_0,1409357,9,0,FRE_0,EVE_0,1
28,EMP_1,GRA_0,1116616,2,1,FRE_1,EVE_0,1
34,EMP_0,GRA_0,707756,3,0,FRE_0,EVE_0,1
28,EMP_1,GRA_0,1333677,5,1,FRE_1,EVE_0,1
27,EMP_1,GRA_0,1074288,5,0,FRE_0,EVE_0,1
35,EMP_1,GRA_1,865921,4,1,FRE_1,EVE_1,1
28,EMP_0,GRA_0,1045357,3,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,353882,8,1,FRE_0,EVE_0,1
27,EMP_0,GRA_0,1054086,5,0,FRE_0,EVE_0,1
27,EMP_1,GRA_0,858692,3,0,FRE_0,EVE_0,1
27,EMP_1,GRA_0,981308,3,1,FRE_0,EVE_0,1
28,EMP_0,GRA_0,636515,2,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,825930,8,0,FRE_0,EVE_0,1
29,EMP_1,GRA_0,1800000,6,1,FRE_1,EVE_0,1
27,EMP_1,GRA_1,969106,4,1,FRE_0,EVE_0,1
27,EMP_1,GRA_0,1385004,6,1,FRE_0,EVE_0,1
29,EMP_1,GRA_1,1163334,4,0,FRE_0,EVE_0,1
26,EMP_1,GRA_1,1377119,5,0,FRE_0,EVE_0,1
31,EMP_1,GRA_0,1448732,4,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,897273,7,1,FRE_1,EVE_0,1
27,EMP_0,GRA_0,303350,3,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1800000,3,1,FRE_1,EVE_0,1
27,EMP_1,GRA_0,834258,4,0,FRE_0,EVE_0,1
28,EMP_1,GRA_0,1139911,3,0,FRE_0,EVE_0,1
28,EMP_1,GRA_1,509465,6,0,FRE_0,EVE_1,1
29,EMP_1,GRA_0,1310573,5,1,FRE_0,EVE_0,1
27,EMP_1,GRA_0,628746,2,0,FRE_1,EVE_0,1
28,EMP_1,GRA_1,653025,5,0,FRE_1,EVE_0,1
32,EMP_1,GRA_0,1077438,3,1,FRE_1,EVE_0,1
29,EMP_1,GRA_0,1058670,6,0,FRE_0,EVE_0,1
28,EMP_0,GRA_0,1017921,5,1,FRE_1,EVE_1,1
27,EMP_1,GRA_0,1468769,5,1,FRE_0,EVE_0,1
28,EMP_1,GRA_0,1800000,7,0,FRE_0,EVE_1,1
27,EMP_1,GRA_1,593609,7,0,FRE_0,EVE_0,1
35,EMP_1,GRA_0,300000,4,1,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1364267,6,0,FRE_1,EVE_1,1
29,EMP_1,GRA_0,1758508,7,0,FRE_0,EVE_1,1
28,EMP_1,GRA_0,960561,5,0,FRE_0,EVE_1,1
27,EMP_1,GRA_0,764193,5,0,FRE_0,EVE_0,1
27,EMP_1,GRA_0,583466,5,0,FRE_0,EVE_0,1
29,EMP_0,GRA_1,1106932,4,1,FRE_0,EVE_1,1
34,EMP_1,GRA_0,1274390,6,0,FRE_0,EVE_1,1
28,EMP_1,GRA_0,1460028,4,1,FRE_0,EVE_0,1
35,EMP_0,GRA_0,574808,6,0,FRE_0,EVE_0,1
30,EMP_0,GRA_1,847350,6,0,FRE_0,EVE_0,1
28,EMP_1,GRA_0,891451,4,1,FRE_0,EVE_0,1
30,EMP_1,GRA_0,910199,4,0,FRE_0,EVE_0,1
28,EMP_1,GRA_0,1768932,2,0,FRE_1,EVE_0,1
29,EMP_1,GRA_0,1416745,7,1,FRE_0,EVE_0,1
25,EMP_1,GRA_1,781953,7,0,FRE_0,EVE_0,1
28,EMP_1,GRA_0,435743,4,0,FRE_0,EVE_0,1
30,EMP_0,GRA_1,894652,5,1,FRE_1,EVE_0,1
25,EMP_1,GRA_0,1683058,5,0,FRE_0,EVE_0,1
27,EMP_1,GRA_1,693221,6,0,FRE_1,EVE_0,1
26,EMP_1,GRA_0,496576,5,0,FRE_0,EVE_0,1
28,EMP_1,GRA_0,629053,4,0,FRE_0,EVE_0,1
27,EMP_1,GRA_0,918827,4,0,FRE_0,EVE_0,1
28,EMP_1,GRA_1,1602066,5,0,FRE_0,EVE_0,1
