Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,Target
26,EMP_1,GRA_0,1800000,6,0,FRE_0,EVE_0,1
29,EMP_0,GRA_0,1596457,3,0,FRE_0,EVE_0,1
29,EMP_1,GRA_0,1212694,6,0,FRE_0,EVE_0,1
35,EMP_1,GRA_0,465209,4,0,FRE_1,EVE_0,1
29,EMP_1,GRA_0,906989,3,0,FRE_1,EVE_0,1
32,EMP_0,GRA_0,758235,8,0,FRE_0,EVE_0,1
28,EMP_1,GRA_0,761325,7,0,FRE_0,EVE_0,1
29,EMP_1,GRA_0,702396,4,0,FRE_1,EVE_1,1
26,EMP_0,GRA_0,1513875,6,1,FRE_0,EVE_0,1
25,EMP_1,GRA_0,930065,5,0,FRE_0,EVE_0,1
28,EMP_0,GRA_0,1611568,5,0,FRE_1,EVE_0,1
27,EMP_1,GRA_0,894470,3,1,FRE_1,EVE_0,1
28,EMP_1,GRA_0,521179,4,0,FRE_0,EVE_0,1
25,EMP_1,GRA_0,717061,5,0,FRE_0,EVE_0,1
25,EMP_1,GRA_0,1552936,6,0,FRE_0,EVE_0,1
35,EMP_1,GRA_0,1702942,6,1,FRE_0,EVE_1,1
26,EMP_1,GRA_1,982605,8,0,FRE_0,EVE_0,1
25,EMP_1,GRA_0,1709389,3,0,FRE_0,EVE_0,1
29,EMP_1,GRA_0,941577,6,0,FRE_0,EVE_0,1
35,EMP_1,GRA_0,1167819,6,1,FRE_0,EVE_0,1
27,EMP_0,GRA_1,626951,6,0,FRE_0,EVE_1,1
35,EMP_1,GRA_0,1797984,4,0,FRE_0,EVE_1,1
35,EMP_0,GRA_0,1096576,3,0,FRE_1,EVE_0,1
30,EMP_1,GRA_1,1010614,6,0,FRE_0,EVE_0,1
31,EMP_1,GRA_0,318995,5,0,FRE_0,EVE_0,1
28,EMP_1,GRA_0,980180,7,0,FRE_0,EVE_0,1
31,EMP_1,GRA_0,1389593,3,0,FRE_0,EVE_0,1
30,EMP_1,GRA_0,868712,2,0,FRE_0,EVE_0,1
25,EMP_1,GRA_1,971837,3,1,FRE_0,EVE_0,1
35,EMP_1,GRA_1,457099,9,0,FRE_0,EVE_0,1
28,EMP_0,GRA_1,1405838,4,1,FRE_1,EVE_1,1
28,EMP_1,GRA_0,956325,7,0,FRE_1,EVE_0,1
28,EMP_1,GRA_1,722955,4,0,FRE_0,EVE_1,1
25,EMP_0,GRA_0,866062,5,1,FRE_0,EVE_0,1
29,EMP_0,GRA_0,729638,2,0,FRE_0,EVE_0,1
27,EMP_1,GRA_0,726392,4,0,FRE_0,EVE_0,1
30,EMP_0,GRA_0,482449,4,0,FRE_0,EVE_0,1
28,EMP_1,GRA_0,691399,2,0,FRE_0,EVE_0,1
28,EMP_1,GRA_0,1176576,4,0,FRE_1,EVE_0,1
