Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,Target
26,EMP_1,GRA_0,1443034,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1565345,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1279188,3,0,FRE_0,EVE_1,1
34,EMP_1,GRA_0,1230295,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1235516,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1249471,5,0,FRE_0,EVE_1,1
26,EMP_1,GRA_0,1279961,4,0,FRE_0,EVE_1,1
33,EMP_1,GRA_0,1596492,4,0,FRE_1,EVE_0,1
34,EMP_1,GRA_0,1202637,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1438934,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1022763,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1291437,4,0,FRE_0,EVE_0,1
25,EMP_1,GRA_0,544056,4,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1481010,5,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1352820,4,0,FRE_0,EVE_0,1
35,EMP_1,GRA_0,1322538,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1283463,4,0,FRE_0,EVE_1,1
34,EMP_1,GRA_0,1532181,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1290679,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1435772,4,0,FRE_0,EVE_1,1
25,EMP_1,GRA_0,1334491,4,0,FRE_0,EVE_1,1
34,EMP_1,GRA_0,1173211,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1199847,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1605374,4,0,FRE_0,EVE_0,1
32,EMP_1,GRA_0,1327329,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1054521,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1373206,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1539276,3,0,FRE_0,EVE_1,1
35,EMP_1,GRA_0,1354418,3,0,FRE_0,EVE_1,1
33,EMP_1,GRA_0,1379674,3,0,FRE_0,EVE_1,1
34,EMP_1,GRA_0,1102034,3,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1369334,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1177299,3,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1290133,5,0,FRE_0,EVE_1,1
33,EMP_1,GRA_0,1347463,3,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1376775,5,0,FRE_0,EVE_1,1
33,EMP_1,GRA_0,1156302,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1354009,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1558408,4,0,FRE_0,EVE_1,1
26,EMP_1,GRA_0,1245816,5,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1205126,3,0,FRE_0,EVE_0,1
27,EMP_1,GRA_0,1546082,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1080189,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1533088,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1284671,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1498220,4,0,FRE_0,EVE_0,1
25,EMP_1,GRA_0,1346429,5,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1350398,5,0,FRE_1,EVE_1,1
33,EMP_1,GRA_0,1376665,4,0,FRE_0,EVE_1,1
34,EMP_1,GRA_0,1087357,4,0,FRE_0,EVE_0,1
32,EMP_1,GRA_0,1449176,3,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1588307,5,0,FRE_1,EVE_1,1
33,EMP_1,GRA_0,1438664,4,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1765853,5,0,FRE_0,EVE_1,1
34,EMP_1,GRA_0,1226782,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1112457,4,0,FRE_0,EVE_0,1
27,EMP_1,GRA_0,1274098,4,0,FRE_0,EVE_1,1
32,EMP_1,GRA_0,1192503,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1409472,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1300053,3,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1557675,5,0,FRE_0,EVE_1,1
33,EMP_1,GRA_0,1496324,4,0,FRE_0,EVE_1,1
34,EMP_1,GRA_0,1124898,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1093766,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1154257,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1402680,5,0,FRE_0,EVE_1,1
35,EMP_1,GRA_0,1233187,5,0,FRE_0,EVE_1,1
33,EMP_1,GRA_0,1259802,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1123612,5,0,FRE_0,EVE_1,1
33,EMP_1,GRA_0,1167925,4,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1590902,3,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1379663,4,0,FRE_0,EVE_1,1
33,EMP_1,GRA_0,975928,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1445314,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1287215,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1075932,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1355062,3,0,FRE_0,EVE_1,1
26,EMP_1,GRA_0,571445,4,0,FRE_0,EVE_0,1
25,EMP_1,GRA_0,1329077,5,0,FRE_0,EVE_0,1
25,EMP_1,GRA_0,1411927,5,0,FRE_0,EVE_1,1
26,EMP_1,GRA_0,1625692,3,0,FRE_0,EVE_1,1
32,EMP_1,GRA_0,1108907,4,0,FRE_0,EVE_1,1
26,EMP_1,GRA_0,1246136,5,0,FRE_0,EVE_0,1
25,EMP_1,GRA_0,1365587,4,0,FRE_0,EVE_1,1
26,EMP_1,GRA_0,1343923,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1301174,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1202651,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1063220,3,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1183570,3,0,FRE_0,EVE_1,1
25,EMP_1,GRA_0,1374060,5,0,FRE_0,EVE_1,1
27,EMP_1,GRA_0,1672989,4,0,FRE_0,EVE_1,1
33,EMP_1,GRA_0,1216406,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1205490,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1349146,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1294514,3,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1204551,3,0,FRE_0,EVE_1,1
33,EMP_1,GRA_0,1425269,4,0,FRE_0,EVE_1,1
33,EMP_1,GRA_0,1366625,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1087555,4,0,FRE_0,EVE_0,1
27,EMP_1,GRA_0,1155821,5,0,FRE_0,EVE_1,1
33,EMP_1,GRA_0,1325479,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1200284,5,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1244844,3,0,FRE_0,EVE_1,1
33,EMP_1,GRA_0,1529348,5,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1536336,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1306759,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1362674,3,0,FRE_0,EVE_0,1
25,EMP_1,GRA_0,1381226,5,0,FRE_0,EVE_1,1
33,EMP_1,GRA_0,726224,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1503127,5,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1322480,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1170266,4,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1585390,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1414675,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1432880,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1419113,3,0,FRE_0,EVE_0,1
27,EMP_1,GRA_0,1503577,5,0,FRE_0,EVE_0,1
35,EMP_1,GRA_0,1347426,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1659931,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1456504,4,0,FRE_0,EVE_0,1
25,EMP_1,GRA_0,1176968,5,0,FRE_0,EVE_1,1
33,EMP_1,GRA_0,1311732,4,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1542619,4,0,FRE_0,EVE_1,1
27,EMP_1,GRA_0,1090702,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1490945,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1349417,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1297750,4,0,FRE_0,EVE_0,1
25,EMP_1,GRA_0,1209632,4,0,FRE_0,EVE_1,1
33,EMP_1,GRA_0,1421952,4,0,FRE_0,EVE_0,1
35,EMP_1,GRA_0,1373570,4,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,612231,5,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,987751,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1561202,5,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1357742,5,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1188808,4,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1395881,5,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1293914,4,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1325029,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1390995,4,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1554097,5,0,FRE_1,EVE_1,1
34,EMP_1,GRA_0,1215566,4,0,FRE_0,EVE_1,1
34,EMP_1,GRA_0,1201207,3,0,FRE_0,EVE_1,1
34,EMP_1,GRA_0,1290162,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1334136,4,0,FRE_0,EVE_1,1
