Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,Target
34,EMP_1,GRA_0,1368593,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1223389,3,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1222183,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1249032,3,0,FRE_0,EVE_1,1
25,EMP_1,GRA_0,1477425,5,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1260091,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1218929,5,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1181052,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1104725,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1148947,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1164530,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1515494,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1250180,4,0,FRE_0,EVE_1,1
34,EMP_1,GRA_0,1320834,5,0,FRE_0,EVE_1,1
34,EMP_1,GRA_0,1434873,4,0,FRE_0,EVE_0,1
27,EMP_1,GRA_0,1427309,4,0,FRE_0,EVE_0,1
34,EMP_1,GRA_0,1371370,4,0,FRE_0,EVE_0,1
25,EMP_1,GRA_0,1368514,5,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1545136,3,0,FRE_0,EVE_1,1
35,EMP_1,GRA_0,1482115,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1131521,3,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1551957,3,0,FRE_1,EVE_1,1
33,EMP_1,GRA_0,1116777,4,0,FRE_0,EVE_0,1
26,EMP_1,GRA_0,1348546,5,0,FRE_0,EVE_1,1
33,EMP_1,GRA_0,1387423,4,0,FRE_0,EVE_0,1
33,EMP_1,GRA_0,1348581,5,0,FRE_0,EVE_1,1
